<<<<<<< HEAD
Application,Polygon,,,,Curves,,,,,,,,,,Spline/Bézier Surface,,,Metaball,Point Clouds,Particles,Voxel / Volume,Bone,Text,Camera,Light,Speaker
,tris,quads,N-gon,donut,Linear,Quadratic Bézier,Cubic Bézier,B-spline,Cardinal spline,Hermite spline,TCB spline,Smooth-step,Akima spline,NURBS,NURBS regular patch,NURBS trimmed surface,Bicubic Bézier patch,,,,,,,,,
Blender,Yes,Yes,Yes,No[11],Bézier curve without subdivision,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,2.83 and later,Yes,Yes,Yes,Yes,Yes
Maya,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,3D Texture,Yes,Yes,Yes,Yes,No
3ds Max,Yes,Yes,Yes,?,Yes,?,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Cinema 4D,Yes,Yes,Yes,?,Yes,No,Yes,Yes,No,?,No,No,Yes,?,?,?,?,Yes,?,Yes,R20 and later,Yes,Yes,Yes,Yes,dropped in R23[12]
LightWave,Yes,Yes,Yes,Yes,?,?,?,Yes,?,only in Graph Editor,only in Graph Editor,?,No,?,(LWCAD plugin),?,No,Yes,No,Yes,OpenVDB primitives[13],Yes,Yes,Yes,Yes,?
Shade 3D,Yes,Yes,Yes,?,?,?,Yes,?,No,No,No,No,No,Yes,?,?,Yes,Yes,No,Yes,?,Yes,Yes,Yes,Yes,Sound Object
=======
,Imports,Exports
3ds Max,"BMP, Cineon, TGA, JPG, PNG, OpenEXR, Cineon, Radiance HDR, SGI, RLA, RPF, AVI, MPEG and QuickTime, GIF, TIFF, PSD, MOV, YUV, DDS",?
Art of Illusion,"GIF, JPG, PNG, BMP, HDR, SVG","JPG, PNG, BMP, TIFF, HDR, QuickTime"
AC3D,"GIF, JPG, PNG, BMP, DDS, PPM, Targa, TIFF","GIF, JPG, PNG, BMP, DDS, PPM, Targa, TIFF"
Blender,"TGA, JPG, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV","TGA, JPG, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV"
Electric Image Animation System,"TGA, JPG, PNG, BMP, Radiance HDR, AVI and QuickTime, TIFF, PSD, MOV","PNG, BMP, AVI and QuickTime GIF, TIFF, MOV"
Cinema 4D,?,?
Clara.io,"PNG, JPG",?
Cobalt,"BMP, GIF, JPEG, PICT, PNG, PPM, XBM, XPM","BMP, GIF, JPEG, PICT, PNG, PPM, XBM, XPM"
Houdini,?,?
IClone,"JPG, BMP, GIF, TGA, PNG, AVI, WMV, MP3, WAV, popVideo","JPG, BMP, GIF, TGA, PNG, WMV, AVI, MP4, popVideo, FLV, iWidget"
Lightwave 3D,"TGA, JPG, PNG, AI, EPS, BMP, IFF, Radiance HDR, AVI and QuickTime, GIF, TIFF, PSD, MOV, OpenEXR","TGA, JPG, PNG, BMP, Radiance HDR, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV, OpenEXR"
MakeHuman,?,?
Maya,"Ai, Aiff, Pix, AVI, Cineon, EPS, GIF, Jpeg, Swf, Maya IFF, Maya16 IFF, MacPaint, PSD, PNG, Quantel, Quickdraw, MOV, RLA, SVG, SGI, SGI16, SGI Movie, TGA, TIF, BMP, HDR","Maya IFF, AVI, QT, GIF, Softimage, RLA, BMP, TIF, SGI RGB, Alias PIX, Jpeg, EPS, Cineon, Quantel, TGA, Macpaint, PSD, PNG, Quickdraw, DDS"
Metasequoia,?,?
Modo,"TGA, BMP, FLX, GIF, HDR, HDR, JP2, JPG, JPEG, PNG, SGI, openEXR, EPS, AI, PSD","TGA, BMP, FLX, GIF, HDR, JP2, JPG, JPEG, PNG, TIF, openEXR, MOV, MWV, PSD"
Remo 3D,"BMP, DDS, GIF, JPG, PNG, PNM, SGI (RGB), TGA, TIF","JPG, PNG, SGI (RGB), TIF, XPM"
Shade,?,"QuickTime VR, Piranesi EPix"
Softimage,?,?
Solid Edge,?,?
SketchUp Make,"JPG, PNG, TIF, TGA, BMP","JPG, PNG, TIF, BMP"
SketchUp Pro,"JPG, PNG, TIF, TGA, BMP","JPG, PNG, TIF, BMP, MOV(on Mac), AVI (on Windows)[9]"
Wings3D,?,?
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
