<<<<<<< HEAD
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
Give Way ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic signals ahead,,,,,,,,,,,,,or,,,,,,,,,,,,,,,,,
Roundabout ahead,,NOT USED,,,,,,NOT USED,,,,or (mini- roundabout),,,,,,,,,,DEFUNCT,,,,REPLACED by sign No. 4.54,,,,
Two-way traffic ahead,,,,,or,,,,,,,or,,,,,,,,,,,,,,,,,or,
Traffic queues likely ahead,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,,NOT USED
Level crossing without barriers ahead,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,,NOT USED
Level crossing with barriers ahead,,,,,,,,(until 2022),,,NOT USED,or (no lights),,,,,,,,,,DEFUNCT,,,,,,,,NOT USED
Level crossing (one track),,,,,,,,(overhead wires),,,NOT USED,NOT USED,,,,,,,,and,,,,,,,,,(ungated),NOT USED
Level crossing (multiple tracks),,,,,,,,NOT USED,,,NOT USED,NOT USED,,,,,,,,and,,DEFUNCT,,,,DEFUNCT,,,(ungated) DEFUNCT,NOT USED
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
Tram crossing,,,,,,,,,,,NOT USED,,,,,,,,,,,DEFUNCT,,,,,,,,NOT USED
Crossroads with priority to the right,,,,,,,,,,,,NOT USED,,,,(dangerous crossroads),,,,,,,,,,,,,NOT USED,
Crossroads with a minor road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction with a minor road,,,,,,,NOT USED,NOT USED,,,,,,,,,,,,,,,,,,DEFUNCT,,,,
Merging traffic,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,,NOT USED,NOT USED,,,,,,,,NOT USED,NOT USED,,,NOT USED,,NOT USED,,,,DEFUNCT,NOT USED,NOT USED,,
Road narrows on both sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road narrows on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dangerous crosswinds,,,,,,,,,,,,,,,,,,,,,,,,,,DEFUNCT,,,,
Low-flying aircraft,(until 2022),,,or,,,,,,,,,,,,,,,,,,DEFUNCT,,,,DEFUNCT,,,or,
Steep descent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steep ascent,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,,,,,,
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
Road hump ahead,,,,,,,,NOT USED,,,,,,,,,,,,,,DEFUNCT,,,,,,,,
Uneven road ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bend ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double bend ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slippery road surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loose road surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft verges,,NOT USED,,,,,NOT USED,(until 2022),,,,,,,,,,,,,,,,,,NOT USED,,,,
Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian crossing ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclists ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falling rocks or debris,,,,,,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,
