<<<<<<< HEAD
Client,Windows,macOS,Linux,BSD,Unix,AmigaOS,ChromeOS
AbsoluteTelnet,Yes,No,No,No,No,No,No
ALFTP,Yes,No,No,No,No,No,No
Beyond Compare,Yes,Yes,Yes,No,No,No,No
Classic FTP,Yes,Yes,No,No,No,No,No
Codeanywhere (webbased),Yes,Yes,Yes,Yes,Yes,Yes,Yes
Commander One,No,Yes,No,No,No,No,No
CoreFTP,Yes,No,No,No,No,No,No
CrossFTP,Yes,Yes,Yes,Yes,Yes,Yes,No
cURL (CL),Yes,Yes,Yes,Yes,Yes,Yes,No
CuteFTP,Yes,Yes,No,No,No,No,No
Cyberduck,Yes,Yes,No,No,No,No,No
Directory Opus,Yes,No,No,No,No,Yes,No
ExpanDrive,Yes,Yes,No,No,No,No,No
FAR Manager,Yes,No,No,No,No,No,No
Fetch,No,Yes,No,No,No,No,No
FileZilla,Yes,Yes,Yes,Yes,Yes,No,No
FireFTP,Yes,Yes,Yes,Yes,Yes,No,No
FlashFXP,Yes,No,No,No,No,No,No
Fling FTP,Yes,No,No,No,No,No,No
ForkLift,No,Yes,No,No,No,No,No
FTP Client,No,Yes,No,No,No,No,No
FTP Commander,Yes,No,No,No,No,No,No
FTP Explorer,Yes,No,No,No,No,No,No
FTP Voyager,Yes,No,No,No,No,No,No
Fugu,No,Yes,No,No,No,No,No
gFTP,No,Yes,Yes,Yes,Yes,No,No
Interarchy,No,Yes,No,No,No,No,No
LeechFTP,Yes,No,No,No,No,No,No
lftp (CL),Yes (cygwin),Yes,Yes,Yes,Yes,No,No
Macfusion,No,Yes,No,No,No,No,No
Mosaic,Yes,Yes,No,No,Yes,Yes,No
NcFTP (CL),Yes,Yes,Yes,Yes,Yes,Yes,No
net2ftp (web-based),Yes,Yes,Yes,Yes,Yes,Yes,No
pbFtpClient,Yes,No,No,No,No,Yes,No
PSFTP (PuTTY) (CL),Yes,No,Yes,Yes,Yes,No,No
Rclone,Yes,Yes,Yes,Yes,Yes,No,No
Secure FTP,Yes,Yes,Yes,Yes,Yes,Yes,No
SmartFTP,Yes,No,No,No,No,No,No
Steed,Yes,No,No,No,No,No,No
Sysax FTP Automation,Yes,No,No,No,No,No,No
Total Commander,Yes,No,No,No,No,No,No
tnftp (CL),Yes (cygwin),Yes,Yes,Yes,Yes,No,Yes
Transmit,No,Yes,No,No,No,No,No
WebDrive,Yes,Yes,No,No,No,No,No
WinSCP,Yes,No,No,No,No,No,No
WISE-FTP,Yes,No,No,No,No,No,No
WS_FTP,Yes,No,No,No,No,No,No
Yummy FTP,No,Yes,No,No,No,No,No
Client,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,ChromeOS
=======
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
CoreFTP,CoreFTP.com,2003,"2.2 (build 1751) June 27, 2012; 8 years ago (2012-06-27)",Freeware,Yes
Fetch,Fetch Softworks,1989,"5.7.7 December 2, 2017; 2 years ago (2017-12-02)",Proprietary,Yes
Secure FTP,Glub Tech,1999,"2.6.2 July 27, 2013; 7 years ago (2013-07-27)",Apache,Yes
Sysax FTP Automation,"Codeorigin, LLC",2005,"5.31 April 12, 2012; 8 years ago (2012-04-12)",Proprietary,Yes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
