<<<<<<< HEAD
Editor,CSS2,Frames,Java,JavaScript,XSLT,XHTML,MathML,XForms,RSS,Atom,XPath
Amaya[9],Partial,No,No,No,No,Yes,Yes,No,No,No,?
Aptana,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Arachnophilia,Yes,Yes,?,Yes,?,Yes,?,?,?,?,?
Bluefish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BlueGriffon,Yes (via commercial proprietary add-on)[10],?,?,?,?,Yes,Yes (via commercial proprietary add-on)[11],?,?,?,?
Brackets,Yes,Yes,Yes,Yes,?,Yes,?,?,Yes,Yes,?
Claris Homepage,Partial,Yes,No,Yes,No,No,No,No,No,No,No
Codelobster,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
CoffeeCup HTML Editor,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No
Dreamweaver,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes[1],Yes,?,Yes
Freeway,Yes,Yes,Partial,Yes,Yes,Yes,No,No,Yes,No,No
GoLive,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
HTML-Kit,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
KompoZer,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
LibreOffice,Yes,Yes,Yes (optional),Yes (and Python),Yes (that's how export works),Yes,Yes,?,?,?,?
Maqetta,Yes,?,No,Yes,?,?,?,?,?,?,?
Microsoft Expression Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Microsoft FrontPage,Partial,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Microsoft SharePoint Designer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Microsoft Visual Web Developer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Nvu,Yes,No,No,Yes,No,Yes,No,No,No,No,No
openElement,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
OpenOffice.org,Yes,Yes,?,Yes,Yes,Yes,Yes,?,?,?,?
oXygenXML Editor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quanta Plus,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,Yes
RocketCake,Yes,No,Yes,Yes,?,?,?,No,No,No,?
SeaMonkey Composer,Yes,Yes,No,Yes,No,Yes,"Yes (rendering, but no tools)",No,No,No,?
TOWeb,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
Web Architect,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?
WebStorm IDE,Yes,Yes,No,Yes,Yes,Yes,No,No,?,?,Yes
Editor,CSS2,Frames,Java,JavaScript,XSLT,XHTML,MathML,XForms,RSS,Atom,XPath
=======
Editor,Windows,OS X,Linux,BSD,Unix,iOS,Android
Amaya,Terminated 2012,Terminated 2012,Terminated 2012,Terminated 2012,Terminated 2012,No,No
Aptana,Yes,Yes,Yes,Yes,No,No,No
Arachnophilia,Yes,Yes,Yes,Yes,No,No,No
Atom,Yes,Yes,Yes,No,No,No,No
Bluefish,Yes,Yes,Yes,Yes,Yes,No,No
BlueGriffon,Yes,Yes,Yes,No,No,No,No
Brackets,Yes,Yes,Yes,No,No,No,No
Claris Homepage,Terminated (3.0),No,No,No,No,No,No
Codelobster,Yes,No,No,No,No,No,No
CoffeeCup HTML Editor,Yes,Yes,No,No,No,No,No
CudaText,Yes,Yes,Yes,Yes,Yes,No,No
Contribute,Yes,Yes,No,No,No,No,No
Dreamweaver,Yes,Yes,No,No,No,No,No
EZGenerator,Yes,No,No,No,No,No,No
Freeway,No,Yes,No,No,No,No,No
GoLive,Terminated (9.0),Terminated (9.0),No,No,No,No,No
HTML-Kit,Yes,No,No,No,No,No,No
KompoZer [3],Yes,Yes,Yes,Yes,No,No,No
LibreOffice,Yes,Yes,Yes,source only,source only,No,No
Maqetta,Yes,Yes,Cloud[4],Cloud[4],No,No,No
Microsoft Expression Web,Yes,No,No,No,No,No,No
Microsoft FrontPage,Terminated (2003),No,No,No,No,No,No
Microsoft SharePoint Designer,Yes,No,No,No,No,No,No
Microsoft Visual Web Developer,Yes,No,No,No,No,No,No
Web Architect,Yes,No,No,No,No,No,No
Mobirise,Yes,Yes,No,No,No,No,Yes
Mozilla Composer,Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),No,No
Nvu [5],Terminated (1.0),Terminated (1.0),Terminated (1.0),Terminated (1.0),No,No,No
openElement,Yes,No,No,No,No,No,No
OpenOffice.org,Yes,Yes,Yes,source only,source only,No,No
oXygenXML Editor,Yes,Yes,Yes,Yes,Yes,No,No
Quanta Gold (deprecated),Yes,Yes,Yes,No,No,No,No
Quanta Plus,No,Terminated 2009,Terminated 2009,Terminated 2009,Terminated 2009,No,No
RocketCake,Yes,Yes,No,No,No,No,No
SeaMonkey Composer,Yes,Yes,Yes,Yes,Yes,No,No
TOWeb,Yes,No,No,No,No,No,No
WebStorm IDE,Yes,Yes,Yes,Yes,Yes,No,No
Editor,Windows,OS X,Linux,BSD,Unix,iOS,Android
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
