<<<<<<< HEAD
Name,Keyboard mapping,Session tabs,ZMODEM transfers,Find text in buffer,Mouse input support[Note 1],Unicode support,URL hyperlinking,Public key authentication,Smart card support,Hardware encryption,FIPS 140-2 validation,Scripting,Shared Database,Auto-reconnect,CA Certificates
AbsoluteTelnet,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,?,?
Bitvise SSH Client,?,No,No,No,Yes,Yes,No,Yes,No,?,Partial,Yes,No,Yes,No
OpenSSH (OpenBSD Secure Shell),?,No,No,?,Yes[Note 2],Yes,not native[Note 3],Yes,Yes[Note 4],Yes,Partial[Note 5],No,No,?,Yes[Note 6]
PuTTY,No,No[Note 7],No,No,Yes,Yes,No[Note 8],Yes,No[Note 9],Yes,No,No,No,No,No[Note 10]
SecureCRT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,?,?
SmartFTP,Partial,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,AES-NI,Yes,No,?,?,?
Tera Term,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,?,?
TN3270 Plus,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,?,?,?
TtyEmulator,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,?,?,?
wolfSSH,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,?,Yes
ZOC,full,Yes,Yes,Alt+F,Yes,UTF-8,Yes,Yes,pkcs#11,No,No,Yes,?,?,?
=======
Name,User interface,SSH1,SSH2,Additional protocols,,Port forwarding and Tunneling,,,Session multiplexing [Note 1],Kerberos,IPv6,Terminal,SFTP/SCP,Proxy client[Note 2]
,,,,TELNET,rlogin,Port forwarding,SOCKS [Note 3],VPN [Note 4],,,,,,
AbsoluteTelnet,"GUI (multi-session, single-window)",Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"SOCKS 4, 5; HTTP"
Bitvise SSH Client,GUI or command line,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SOCKS 4, 5"
Dropbear,command line,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,?
lsh,command line,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,?
OpenSSH (OpenBSD Secure Shell),command line,No[Note 5],Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ProxyCommand
PuTTY,GUI or command line,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes[Note 6],Yes,Yes,Yes[Note 7],"SOCKS 4, 5; HTTP; Telnet; Local"
SecureCRT,GUI,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"SOCKS 4, 5; HTTP; Telnet; Generic"
SmartFTP,"GUI (multi-session, single-window)",No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,"SOCKS 4, 5; HTTP"
Tera Term,GUI,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,SCP,"SOCKS 4, 5; HTTP; Telnet"
TN3270 Plus,GUI,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,SOCKS 4
TtyEmulator,GUI or command line,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,"SOCKS 4,4a, 5; HTTP Local"
WinSCP [Note 8],GUI or command line,Yes,Yes,No,No,limited[Note 9],No,No,No,Yes,Yes,simple,Yes,"SOCKS 4, 5; HTTP; Telnet; Local"
wolfSSH,command line,No,Yes,No,No,Yes,No,No,No,No,Yes,simple,Yes,?
ZOC,TDI or command line,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,SCP through terminal[Note 10],SOCKS 4; 5; HTTP; Jumpserver
Name,User interface,SSH1,SSH2,Additional protocols,,Tunneling,,,Session multiplexing [Note 1],Kerberos,IPv6,Terminal,SFTP/SCP,Proxy client[Note 2]
,,,,TELNET,rlogin,Port forwarding,SOCKS [Note 3],VPN [Note 4],,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
