<<<<<<< HEAD
State,Governor term length,Governor term limit,Lieutenant Governor,First in line of succession
Alabama,Four years,Two consecutive terms,Yes,Lieutenant Governor
Alaska,Four years,Two terms,Yes,Lieutenant Governor
Arizona,Four years,Two consecutive terms[note 3],No,Secretary of State
Arkansas,Four years,Two terms,Yes,Lieutenant Governor
California,Four years,Two terms,Yes,Lieutenant Governor
Colorado,Four years,Two terms,Yes,Lieutenant Governor
Connecticut,Four years,None,Yes,Lieutenant Governor
Delaware,Four years,Two terms,Yes,Lieutenant Governor
Florida,Four years,Two consecutive terms,Yes,Lieutenant Governor
Georgia,Four years,Two terms,Yes,Lieutenant Governor
Hawaii,Four years,Two terms,Yes,Lieutenant Governor
Idaho,Four years,None,Yes,Lieutenant Governor
Illinois,Four years,None,Yes,Lieutenant Governor
Indiana,Four years,Two terms in a 12-year period[note 4],Yes,Lieutenant Governor
Iowa,Four years,None,Yes,Lieutenant Governor
Kansas,Four years,"There is no lifetime limit on the number, but one must be out of office for at least one election cycle after serving 2 consecutive terms before being eligible again.",Yes,Lieutenant Governor
Kentucky,Four years,Two terms,Yes,Lieutenant Governor
Louisiana,Four years,Two terms,Yes,Lieutenant Governor
Maine,Four years,Two terms,No,President of the Senate
Maryland,Four years,Two consecutive terms,Yes,Lieutenant Governor
Massachusetts,Four years,None,Yes,Lieutenant Governor
Michigan,Four years,Two terms,Yes,Lieutenant Governor
Minnesota,Four years,None,Yes,Lieutenant Governor
Mississippi,Four years,Two terms,Yes,Lieutenant Governor
Missouri,Four years,Two terms,Yes,Lieutenant Governor
Montana,Four years,Two terms,Yes,Lieutenant Governor
Nebraska,Four years,Two terms,Yes,Lieutenant Governor
Nevada,Four years,Two terms,Yes,Lieutenant Governor
New Hampshire,Two years,None,No,President of the Senate
New Jersey,Four years,Two terms,Yes[note 5],Lieutenant Governor
New Mexico,Four years,Two terms,Yes,Lieutenant Governor
New York,Four years,None,Yes,Lieutenant Governor
North Carolina,Four years,Two terms,Yes,Lieutenant Governor
North Dakota,Four years,None,Yes,Lieutenant Governor
Ohio,Four years,Two terms,Yes,Lieutenant Governor
Oklahoma,Four years,Two terms,Yes,Lieutenant Governor
Oregon,Four years,Two consecutive terms,No,Secretary of State
Pennsylvania,Four years,Two consecutive terms[note 6],Yes,Lieutenant Governor
Rhode Island,Four years,Two terms,Yes,Lieutenant Governor
South Carolina,Four years,Two terms,Yes,Lieutenant Governor
South Dakota,Four years,Two terms,Yes,Lieutenant Governor
Tennessee,Four years,Two terms,Yes[note 7],President of the Senate
Texas,Four years,None,Yes,Lieutenant Governor
Utah,Four years,None,Yes,Lieutenant Governor
Vermont,Two years,None,Yes,Lieutenant Governor
Virginia,Four years,"No limit on number, but terms cannot be consecutive",Yes,Lieutenant Governor
Washington,Four years,None,Yes,Lieutenant Governor
West Virginia,Four years,Two terms,Yes[note 8],President of the Senate
Wisconsin,Four years,None,Yes,Lieutenant Governor
Wyoming,Four years,Two terms,No,Secretary of State
=======
State,Highest court,High court seats,High court term,High court judicial placement method,Mandatory retirement age[note 9]
Alabama,Supreme Court of Alabama,9,6 years,Partisan election,
Alaska,Alaska Supreme Court,5,10 years,Missouri Plan,
Arizona,Arizona Supreme Court,7,6 years,Missouri Plan,70
Arkansas,Arkansas Supreme Court,7,8 years,Non-partisan election,
California,Supreme Court of California,7,12 years,Modified Missouri Plan,
Colorado,Colorado Supreme Court,7,10 years,Missouri Plan,
Connecticut,Connecticut Supreme Court,7,8 years[9],Election by the state legislature,70
Delaware,Delaware Supreme Court,5,12 years,Appointment by governor,
Florida,Florida Supreme Court,7,6 years,Modified Missouri Plan,70 (or end of current term)
Georgia,Supreme Court of Georgia,7,6 years,Non-partisan election,
Hawaii,Supreme Court of Hawaii,5,10 years,Appointment by the Governor,70
Idaho,Idaho Supreme Court,5,6 years,Non-partisan election,
Illinois,Supreme Court of Illinois,7,10 years,Partisan election,
Indiana,Indiana Supreme Court,5,10 years[note 10],Missouri Plan,75[note 11]
Iowa,Iowa Supreme Court,7,8 years,Missouri Plan,72
Kansas,Kansas Supreme Court,7,6 years,Missouri Plan,70 (or end of current term)
Kentucky,Kentucky Supreme Court,7,8 years,Non-partisan election,
Louisiana,Supreme Court of Louisiana,7,10 years,Partisan election,
Maine,Maine Supreme Judicial Court,7,7 years,Appointment by the Governor,
Maryland,Maryland Court of Appeals,7,10 years,Appointment by the Governor,70
Massachusetts,Massachusetts Supreme Judicial Court,7,Lifetime,Appointment by the Governor,70
Michigan,Michigan Supreme Court,7,8 years,Non-partisan election[note 12],Must be under 70 at time of election
Minnesota,Minnesota Supreme Court,7,6 years,Non-partisan election,70
Mississippi,Supreme Court of Mississippi,9,8 years,Non-partisan election,
Missouri,Supreme Court of Missouri,7,12 years,Missouri Plan,
Montana,Montana Supreme Court,7,8 years,Non-partisan election,
Nebraska,Nebraska Supreme Court,7,6 years,Missouri Plan,
Nevada,Supreme Court of Nevada,7,6 years,Non-partisan election,
New Hampshire,New Hampshire Supreme Court,5,Lifetime,Appointment by Governor,70
New Jersey,New Jersey Supreme Court,7,7 years[10],Appointment by Governor,70
New Mexico,New Mexico Supreme Court,5,8 years,Partisan election/Retention election,
New York,New York Court of Appeals,7,14 years,Appointed by the Governor,70 (at end of calendar year)
North Carolina,North Carolina Supreme Court,7,8 years,Non-partisan election,
North Dakota,North Dakota Supreme Court,5,10 years,Non-partisan election,
Ohio,Ohio Supreme Court,7,6 years,Non-partisan election,70 (at end of term)
Oklahoma,Oklahoma Supreme Court Oklahoma Court of Criminal Appeals,Supreme Court: 9 Court of Criminal Appeals: 5,6 years (both),Missouri Plan,
Oregon,Oregon Supreme Court,7,6 years,Non-partisan election,75
Pennsylvania,Supreme Court of Pennsylvania,7,10 years,Partisan election,78
Rhode Island,Rhode Island Supreme Court,5,Lifetime[11],Missouri Plan,None[11]
South Carolina,South Carolina Supreme Court,5,10 years,Election by State Legislature,72
South Dakota,South Dakota Supreme Court,5,8 years,Non-partisan election,
Tennessee,Tennessee Supreme Court,5,8 years,Tennessee Plan (Modified Missouri Plan),
