Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
<<<<<<< HEAD
Witty Worm Dataset,Dataset detailing the spread of the Witty worm and the infected computers.,Split into a publicly available set and a restricted set containing more sensitive information like IP and UDP headers.,"55,909 IP addresses",Text,Classification,2004,[276][277],Center for Applied Internet Data Analysis
Cuff-Less Blood Pressure Estimation Dataset,Cleaned vital signals from human patients which can be used to estimate blood pressure.,125 Hz vital signs have been cleaned.,"12,000",Text,"Classification, regression",2015,[278][279],M. Kachuee et al.
Gas Sensor Array Drift Dataset,Measurements from 16 chemical sensors utilized in simulations for drift compensation.,Extensive number of features given.,"13,910",Text,Classification,2012,[280][281],A. Vergara
Servo Dataset,Data covering the nonlinear relationships observed in a servo-amplifier circuit.,Levels of various components as a function of other components are given.,167,Text,Regression,1993,[282][283],K. Ullrich
UJIIndoorLoc-Mag Dataset,Indoor localization database to test indoor positioning systems. Data is magnetic field based.,Train and test splits given.,"40,000",Text,"Classification, regression, clustering",2015,[284][285],D. Rambla et al.
Sensorless Drive Diagnosis Dataset,Electrical signals from motors with defective components.,Statistical features extracted.,"58,508",Text,Classification,2015,[286][287],M. Bator
=======
Abalone Dataset,Physical measurements of Abalone. Weather patterns and location are also given.,None.,4177,Text,Regression,1995,[379],Marine Research Laboratories – Taroona
Zoo Dataset,Artificial dataset covering 7 classes of animals.,Animals are classed into 7 categories and features are given for each.,101,Text,Classification,1990,[380],R. Forsyth
Demospongiae Dataset,Data about marine sponges.,503 sponges in the Demosponge class are described by various features.,503,Text,Classification,2010,[381],E. Armengol et al.
Splice-junction Gene Sequences Dataset,Primate splice-junction gene sequences (DNA) with associated imperfect domain theory.,None.,3190,Text,Classification,1992,[358],G. Towell et al.
Mice Protein Expression Dataset,Expression levels of 77 proteins measured in the cerebral cortex of mice.,None.,1080,Text,"Classification, Clustering",2015,[382][383],C. Higuera et al.
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
