<<<<<<< HEAD
Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
Akregator,Yes,?,?,?,?,?,?
Amarok,?,?,?,?,?,?,?
AOL Explorer,?,?,?,?,?,?,?
Avant,?,?,?,?,?,?,?
Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BlogBridge,?,?,?,?,?,?,?
Canto,?,?,?,?,?,?,?
Claws Mail,?,?,?,?,?,?,?
CommaFeed,?,Yes,?,?,?,Yes,?
Cooliris,?,?,?,?,?,?,?
Feed Viewer,Yes,Yes,?,No,No,Yes,Sharing
FeedDemon,Yes,?,?,?,?,?,?
Feedreader,Yes,Yes,?,?,?,Yes,?
Flock,?,?,?,?,?,?,?
Gnus,Yes,Yes,?,?,?,Yes,?
IBM Lotus Notes,?,?,?,?,?,?,?
Internet Explorer,?,?,?,?,?,?,?
iTunes,?,?,?,?,?,?,?
Juice,?,?,?,?,?,?,?
K-Meleon,?,?,?,?,?,?,?
Kazehakase,?,?,?,?,?,?,?
Liferea,Yes,Yes,?,Yes,?,Yes,?
Mail (OS X),?,?,?,?,?,?,?
Maxthon,?,?,?,?,?,?,?
MediaMonkey,?,?,?,?,?,?,?
Microsoft Office Outlook,?,?,?,?,?,?,?
Mozilla Firefox,?,?,?,?,?,?,?
Mozilla Thunderbird,Yes,Yes,?,Yes,?,Yes,?
NetNewsWire,Yes,Yes,?,?,?,?,?
Netscape Browser,?,?,?,?,?,?,?
Netscape Navigator 9,?,?,?,?,?,?,?
NewsAccess,?,?,?,?,?,?,?
Newsbeuter,Yes,Yes,Yes,Yes,Yes,Yes,No
NewsBlur,Yes,Yes,Yes,Yes,?,?,Yes
NewsFire,?,?,?,?,?,?,?
OmniWeb,?,?,?,?,?,?,?
Opera Mail,Yes,Yes,?,Yes,No,Yes,No
Pegasus Mail,?,?,?,?,?,?,?
Rhythmbox,?,?,?,?,?,?,?
RSS Bandit,?,?,?,?,?,?,?
RSSOwl,No,Yes,?,Yes,Yes,Yes,?
Safari,?,?,?,?,?,?,?
Sage,?,?,?,?,?,?,?
SeaMonkey Mail & Newsgroups,?,?,?,?,?,?,?
Shiira,?,?,?,?,?,?,?
Sleipnir,?,?,?,?,?,?,?
Songbird,?,?,?,?,?,?,?
The Bat!,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Old Reader,Via some mobile apps,Yes,?,?,?,Yes,Sharing
Tiny Tiny RSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Winamp,?,?,?,?,?,?,?
Windows Live Mail,?,?,?,?,?,?,?
Zimbra,?,?,?,?,?,?,?
Zune,?,?,?,?,?,?,?
Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
=======
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other format,Delta updates,IPv6,Auto updates
Akregator,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Amarok,?,?,Yes,Yes,Yes,?,Yes,?,No,?,Yes
AOL Explorer,?,?,?,?,?,?,Yes,?,?,Yes,?
Avant,?,?,?,?,?,?,Yes,?,?,Yes,?
Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,any XML format (via XSL),?,Yes,Yes
BlogBridge,?,?,?,?,?,?,?,?,?,?,?
Canto,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,Yes
Claws Mail,?,No,Yes,Yes,?,?,Yes,?,No,Yes,Yes
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0[38]",No,Yes,Yes
Cooliris,?,?,?,?,Yes,Yes,?,?,No,?,?
Feed Viewer,?,Yes,Yes,Yes,Yes,Yes,Yes,"CDF, RDF",No,Yes,Yes
FeedDemon,Yes,?,?,?,?,?,?,?,Yes,?,?
Feedreader,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes
Flock,Yes,?,?,?,?,Yes,Yes,?,?,Yes,Yes
Gnus,?,Yes,Yes,Yes,?,?,No,Newsgroups,?,Yes,No
IBM Lotus Notes,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
Internet Explorer,No,Yes,Yes,Yes,Yes,?,Yes,Web Slice,Yes,Yes,Yes
iTunes,?,?,?,Yes,Yes,?,Yes,?,No,?,Yes
Juice,?,?,?,?,Yes,?,?,?,No,?,?
K-Meleon,?,?,?,?,?,?,Yes,?,?,Yes,?
Kazehakase,?,?,?,?,?,?,?,"LIRS, HINA-DI",?,Yes,?
Liferea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes[39],Yes
Mail (OS X),?,?,?,Yes,?,?,Yes,?,No,Yes,Yes
Maxthon,?,?,?,?,?,?,Yes,?,Yes,Yes,?
MediaMonkey,?,?,?,?,Yes,?,?,?,?,?,?
Microsoft Office Outlook,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Miro,?,?,?,?,Yes,Yes,?,?,?,?,?
Mozilla Firefox,?,Add-on,Add-on,Add-on,?,Add-on,Add-on,?,No,Add-on,Add-on
Mozilla Thunderbird,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,No,Yes,Yes
NetNewsWire,Yes,?,?,?,?,?,?,?,No,?,?
Netscape Browser,?,?,?,?,?,?,Yes,?,No,Yes,Yes
Netscape Navigator 9,?,?,?,?,?,?,Yes,?,No,Yes,Yes
NewsAccess,?,?,?,?,?,?,?,?,No,?,?
NewsBlur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0",Yes,Yes,Yes
NewsFire,?,?,?,?,?,?,?,?,?,?,?
OmniWeb,?,?,?,?,?,?,Yes,?,?,Yes,?
Opera Mail,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RDF, Newsgroup",?,Yes,Yes
Pegasus Mail,?,Yes,Yes,Yes,?,?,?,?,?,?,?
Protopage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0",?,Yes,Yes
Pulse,?,?,?,?,?,?,?,?,?,?,?
Quiterss,?,?,Yes,Yes,?,?,Yes,?,?,?,Yes
Rhythmbox,?,?,?,?,Yes,?,?,?,No,?,Yes
RSS Bandit,?,?,?,?,?,?,?,?,No,?,?
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Newsgroup,No,Yes,Yes
Safari,Yes,?,Yes,Yes,?,?,Yes,?,No,Yes,Yes
Sage,?,Yes,Yes,Yes,No,No,Yes,?,?,Yes,Yes
SeaMonkey Mail & Newsgroups,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,?,Yes,Yes
Songbird,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Shiira,?,?,?,?,?,?,Yes,?,?,Yes,?
Sleipnir,?,?,?,?,?,?,Yes,?,No,Yes,?
The Bat!,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
The Old Reader,Yes,?,?,Yes,Yes,?,Yes,PubSubHubbub,No,Yes,Yes
Tiny Tiny RSS,?,?,?,Yes,?,?,Yes,?,No,?,Yes
Winamp,?,?,?,?,Yes,?,?,?,?,Yes,Notification only
