<<<<<<< HEAD
File archivers,Windows,DOS,Mac OS X,Linux,BSD,Other Unix,AmigaOS,Android,Windows Mobile,Windows Phone
7-Zip,Yes[1],Command-line interface[2],Yes[2],Command-line interface[2],Command-line interface[2],Command-line interface[2],Command-line interface,No,Yes,No
ALZip,Yes,Command-line interface[18],No,No,No,No,No,No,No,No
ALZip for Mac,No,No,Yes,No,No,No,No,No,No,No
Archive Manager,No,No,No,Yes,Yes,Yes,No,No,No,No
Archive Utility,No,No,Yes,No,No,No,No,No,No,No
Ark,No,No,No,Yes,Yes,Yes,No,No,No,No
B1 Free Archiver,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
BetterZip,No,No,Yes,No,No,No,No,No,No,No
bsdtar/libarchive,"Yes, bundled[9]",No,"Yes, bundled",Yes,"Yes, bundled",Yes,Partial,Unknown,Unknown,No
Commander One,No,No,Yes,No,No,No,No,No,No,No
CRAX Commander,No,No,Yes,No,No,No,No,No,No,No
Disk ARchiver,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
Filzip,Yes,No,No,No,No,No,No,No,No,No
FreeArc,Yes,No,No,Yes,Yes,Yes,No,No,No,No
GNU tar,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
iArchiver,No,No,Yes,No,No,No,No,Unknown,Unknown,?
Info-ZIP,Yes,Yes,Yes,Yes,Yes,Yes[9],Yes,No,Yes[8],No
KGB Archiver,Yes[7],Partial,Command-line interface,Yes,No,No,No,Yes,Unknown,?
PeaZip,Yes[1],Unknown,Under Development[19],Yes,Yes,No,No,Unknown,Unknown,?
PKZIP,Yes,Yes,No,Yes,No,Yes,Yes,Unknown,Unknown,?
PowerArchiver,Yes,Unknown,Command-line interface,No,No,No,No,Unknown,Unknown,?
Star,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,?
StuffIt,Yes,Unknown,Yes,"X86 only, older version (5.2.0?)",No,older version (5.2.0?),No,Unknown,Unknown,?
The Unarchiver,Command-line interface,No,Yes,Command-line interface,No,No,No,Unknown,No,?
TUGZip,Yes,Unknown,No,No,No,No,No,Unknown,Unknown,?
WinAce,Yes,Command-line interface[5],Command-line interface expander only[5],"X86, Command-line interface expander only[5]",No,No,Command-line interface expander only,Unknown,Unknown,?
WinRAR and RAR,Yes[1],Yes,Command-line interface[6],"X86 and x86-64, Command-line interface[6]",Command-line interface[6],Command-line interface[6],Command-line interface expander only,Yes[20],Yes,?
WinZip,Yes[1],Command-line interface,Yes,No,No,No,Yes,Yes,Unknown,?
XAD,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,?
Xarchiver,No,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,?
ZipGenius,Yes,Unknown,No,No,No,No,No,Unknown,Unknown,?
ZPAQ,Yes,Unknown,Yes,Yes,No,No,No,Unknown,Unknown,?
,Windows,DOS,Mac OS X,Linux,BSD,Unix,AmigaOS,Android,Windows Mobile,Windows Phone
=======
File archivers,ZIP,TAR,GZ,BZ/BZ2,7z,xz,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ
7-Zip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No[1],No,No,Yes,No,No,No,Yes,No,Yes,No
ALZip,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No
TAR,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Archive Utility,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No[7],No
Ark,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
B1 Free Archiver,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No[11],No,No,No,Yes,Yes,Yes,No
BetterZip,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
bsdtar/libarchive,Yes,Yes,Yes[10],Yes[10],Yes,Yes[10],Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No
cpio,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Commander One,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
CRAX Commander,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No
Disk ARchiver,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Filzip,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
FreeArc,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No[1],No,No,Yes,No,No,No[12],Yes,No,Yes,No
GNU tar[2],No[2],Yes,Yes[2],Yes[2],No[3],Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
iArchiver,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
Info-ZIP,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
KGB Archiver,Yes,No,No,No,No,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No
PeaZip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
PKZIP,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No
PowerArchiver,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
Star[2],No[2],Yes,Yes[2],Yes[2],Yes[2],Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
StuffIt,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
The Unarchiver,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Partial[11],Yes,No,No,Yes,Yes,Yes,Yes,No
