File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
BeeGFS,Yes,Yes,No,Yes,Yes,No,Yes,?,Yes,Yes
CP/M file system,No,No,Yes[ag],No,No,No,No,No,No,No
DECtape[29],No,No,Yes,No,No,No,No,No,No,No
Elektronika BK tape format,No,No,No,No,No,No,No,No,No,Yes
Level-D,Yes,Yes,Yes,Yes (date only),Yes,Yes,Yes (FILDAE),No,No,No
RT-11[30],No,No,Yes (date only),No,No,No,No,No,No,Yes
Version 6 Unix file system (V6FS)[31],Yes,Yes,No,Yes,No,No,No,No,No,No
Version 7 Unix file system (V7FS)[32],Yes,Yes,No,Yes,No,No,No,No,No,No
exFAT,No,No,Yes,Yes,No,No,No,No,No,No
FAT12/FAT16/FAT32,No,No,Yes,Yes,No[ah],No,No,No,No[ai],No
HPFS,Yes[aj],No,Yes,Yes,No,No,No,?,Yes,No
NTFS,Yes,Yes[ak],Yes,Yes,Yes,No,Yes,Yes[al],Yes,Yes[am]
ReFS,Yes,Yes,Yes,Yes,Yes,No,Yes,?,Yes[an],Yes[ao]
HFS,No,No,Yes,No,No,Yes,No,No,Yes,No
HFS Plus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No
FFS,Yes,Yes,No,Yes,Yes,No,No,No,No,No
UFS1,Yes,Yes,No,Yes,Yes,No,Yes[ap],Yes[ap],No[aq],No
UFS2,Yes,Yes,Yes,Yes,Yes,No,Yes[ap],Yes[ap],Yes,Partial
HAMMER,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No,Yes
LFS,Yes,Yes,No,Yes,Yes,No,No,No,No,No
ext,Yes,Yes,No,No,No,No,No,No,No,No
Xiafs,Yes,Yes,No,Yes,Yes,No,No,No,No,No
ext2,Yes,Yes,No,Yes,Yes,No,Yes[ar],Yes[ar],Yes,No
ext3,Yes,Yes,No,Yes,Yes,No,Yes[ar],Yes[ar],Yes,No
ext4,Yes,Yes,Yes,Yes,Yes,No,Yes[ar],Yes[ar],Yes,Partial[as]
NOVA,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Lustre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
F2FS,Yes,Yes,Yes,Yes,Yes,No,Yes[ar],Yes[ar],Yes,No
GPFS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
GFS,Yes,Yes,No,Yes,Yes,No,Yes[ar],Yes[ar],Yes,No
NILFS,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
ReiserFS,Yes,Yes,No,Yes,Yes,No,Yes[ar],Yes[ar],Yes,No
Reiser4,Yes,Yes,No,Yes,Yes,No,No,No,No,No
OCFS,No,Yes,No,No,Yes,Yes,No,No,No,No
OCFS2,Yes,Yes,No,Yes,Yes,No,No,No,No,No
XFS,Yes,Yes,Partial[at],Yes,Yes,No,Yes,Yes[ar],Yes,Partial[au]
JFS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
QFS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
BFS,Yes,Yes,Yes,No,No,No,No,No,Yes,No
AdvFS,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
NSS,Yes,Yes,Yes[av],Yes[av],Yes,Yes[av],Yes,?,Yes[aw][ax],No
NWFS,Yes,?,Yes[av],Yes[av],Yes,Yes[av],Yes,?,Yes[aw][ax],No
ODS-5,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes[ay],No
APFS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Partial
VxFS,Yes,Yes,Yes,Yes,Yes,No,Yes,?,Yes[ar],No
UDF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Fossil,Yes,Yes[az],No,Yes,Yes,No,No,No,No,No
ZFS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[ba],Yes[bb],Yes
Btrfs,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[bc]
Minix V1,Yes,Yes,No,No,No,No,No,No,No,No
Minix V2,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Minix V3,Yes,Yes,No,Yes,Yes,No,No,No,No,No
VMFS2,Yes,Yes,No,Yes,Yes,No,No,No,No,No
VMFS3,Yes,Yes,No,Yes,Yes,No,No,No,No,No
ISO 9660:1988,No,No,Yes,No,No,No,No,No,No,No
Rock Ridge,Yes,Yes,No,Yes[bd],Yes,No,No[be],No[bf],No[bf],No
Joliet ("CDFS"),No,No,Yes,No,No,No,No,No,No,No
ISO 9660:1999,No,No,Yes,No,No,No,No,No,No,No
High Sierra,No,No,Yes,No,No,No,No,No,No,No
SquashFS,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
