<<<<<<< HEAD
Firewall,License,Cost and usage limits,OS
Avast Internet Security,Proprietary,Paid,Microsoft Windows
Comodo Internet Security,Proprietary,Free,"Windows 10/8.1/8/7/Vista x86/x64, XP x86"
Intego VirusBarrier,Proprietary,Paid,Mac OS X 10.5 or later; on an Xserve
Kaspersky Internet Security,Proprietary,Paid / 30 day trial,Windows unknown versions x86/x64
Lavasoft Personal Firewall,Proprietary,Paid,Windows unknown versions x86/x64
Microsoft Forefront Threat Management Gateway,Proprietary,Discontinued,Windows unknown versions x64
NetLimiter,Proprietary,Paid,"Windows 10, 8, 7 x64"
Norton 360,Proprietary,Paid,Windows unknown versions x86/x64
Online Armor Personal Firewall,Proprietary,Discontinued,Windows unknown versions x86/x64
Outpost Firewall Pro,Proprietary,Discontinued,"Windows 10, 8, 7, Vista, XP x86/x64"
PC Tools Firewall Plus,Proprietary,Discontinued,Windows unknown versions x86/x64
Sygate Personal Firewall,Proprietary,Discontinued,Windows unknown versions x86
Windows Firewall,Proprietary,Included with Windows XP SP2 and later,Windows versions x86/x64
ZoneAlarm,Proprietary,Free / Paid,"Windows 10/8.1/8/7/Vista x86/x64, XP x86"
Netfilter/iptables,GPL,Free,Linux kernel module
nftables,GPL,Free,Linux kernel (>=3.13) module
Shorewall,GPL,Free,Linux-based appliance
PeerBlock,GPL,Free,"Windows 8/8.1, 7, Vista x86/x64"
NPF,BSD,Free,NetBSD kernel module
PF,BSD,Free,*BSD kernel module
ipfirewall,BSD,Free,*BSD package
IPFilter,GPLv2,Free,Package for multiple UNIX-like operating systems
=======
Firewall,License,Cost,OS
Clavister,Proprietary,Included on all Clavister NGFWs,Proprietary operating system cOS Core
Check Point,Proprietary,Included on Check Point security gateways,Proprietary operating system Check Point IPSO and Gaia (Linux-based)
FortiGate,Proprietary,Included on all Fortigate devices,"Proprietary, FortiOS, Based on the Linux kernel"
Palo Alto Networks,Proprietary,Included on Palo Alto Networks firewalls,"Proprietary, PAN-OS, Based on the Linux kernel"
Sophos,Proprietary,Included on Sophos UTM,Linux-based appliance
Cisco ASA Firepower,Proprietary,Included on all CISCO ASA devices,Proprietary operating system
Cisco PIX,Proprietary,Included on all CISCO PIX devices,Proprietary operating system
Juniper SSG,Proprietary,Included on Netscreen security gateways,Proprietary operating system ScreenOS
Juniper SRX,Proprietary,Included on SRX security gateways,Proprietary operating system Junos
Sonicwall,Proprietary,Included on Dell appliance,Proprietary operating system SonicOS Based on the Linux kernel
Barracuda Firewall,Proprietary,Included Firewall Next Generation appliance,Windows-based appliance embedded firewall distribution
Cyberoam,Proprietary,Included Firewall Sophos appliance,Windows-based appliance embedded firewall distribution
D-Link,Proprietary,Included Firewall DFL,Windows-based appliance embedded firewall distribution
Endian Firewall,Proprietary,Free / Paid,Linux-based appliance
Forcepoint NGFW,Proprietary,Included on all Forcepoint NGFW devices,Proprietary operating system
OPNsense,Simplified BSD / FreeBSD License,Free / Paid,FreeBSD-based appliance firewall distribution
pfSense,ESF/Apache 2.0,Free / Paid,FreeBSD-based appliance firewall distribution
Zeroshell,GPL,Free / Paid,Linux/NanoBSD-based appliance firewall distribution
SmoothWall,GPL,Free / Paid,Linux-based appliance embedded firewall distribution
IPFire,GPL,Free (Donations welcomed),Linux-based appliance embedded firewall distribution
WatchGuard,Proprietary,Included on all Firebox devices,"Proprietary, Fireware OS, Based on the Linux kernel"
WinGate,Proprietary,Free / Paid,Windows-based appliance embedded firewall distribution
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
