<<<<<<< HEAD
Can:,NAT[a],"NAT64, NPTv6",Intrusion Detection System (IDS)[b],Virtual Private Network (VPN)[c],Antivirus (AV),Packet capture,Profile selection[d]
Vyatta,Yes (three NAT types),?,Yes (integrated Snort),Yes (IPsec and OpenVPN),"Yes (with clamav, Sophos Antivirus (optional))",Yes (with wireshark or tcpdump),?
WinGate,Yes,?,Yes (with NetPatrol),Yes (proprietary),Yes (Kaspersky Labs),Yes (filtered capturing to pcap format),No
pfSense,Yes,Yes (NPt),Yes (with Snort),"Yes (OpenVPN, IPsec, L2TP, IKEv2, Tinc, PPTP)",Yes (with squid and clamav),Yes (tcpdump),No
IPFire,Yes,?,Yes (with Snort),"Yes (OpenVPN, IPsec, IKEv2)",Yes (with squid and clamav),Yes (tcpdump),No
=======
Can Target:,Changing default policy to accept/reject (by issuing a single rule),IP destination address(es),IP source address(es),TCP/UDP destination port(s),TCP/UDP source port(s),Ethernet MAC destination address,Ethernet MAC source address,Inbound firewall (ingress),Outbound firewall (egress)
Trend Micro Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Vyatta,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Windows XP Firewall,No,No,Yes,Partial[a],No,No,No,Yes,No
Windows Vista Firewall,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Windows 7 / Windows 2008 R2 Firewall,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
WinGate,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Zeroshell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Zorp,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
pfSense,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
IPFire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
