<<<<<<< HEAD
Product,Highlight,Annotate,Edit meta-data,Online dictionary,Offline dictionary,Lookup Wikipedia,Translate,Share,TTS support (read aloud),DRM support,Export to iTunes
Apabi Reader,No,No,No,No,No,No,No,Two Chinese websites only,No,No,Yes
Blio,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Bluefire Reader,Yes,Yes,"Author, Title, Publisher",Yes,No,No,No,"Facebook, Twitter, eMail",No,Yes,Yes
DL Reader,Yes,Yes,"Author, Title, Publisher",No,No,No,Yes,No,No,Adobe DRM,Yes
eBookMobi,No,No,No,No,Yes,No,Yes,eMail,No,No,Yes
Ebook Reader,Yes,Yes,No,No,No,No,No,"Facebook, Twitter, eMail, Google+",No,Adobe DRM,Yes
i2Reader,No,No,No,No,Yes,No,No,eMail,No,No,Yes
iBooks,Yes,Yes,No,Yes,Yes,Yes,No,"Facebook, Twitter, eMail, SMS","yes, via VoiceOver",Apple FairPlay,Yes
Kindle,Yes,Yes,No,Yes,Yes,Yes,No,"Facebook, Twitter",No,Yes,Yes
Kobo Reading App,Yes,Yes,No,Yes,No,Yes,No,"Facebook, Twitter",No,Yes,Yes
KyBook,Yes,Yes,Yes,No,Yes,Yes,Yes,"Facebook, Twitter, eMail, VKontakte",Yes,No,Yes
KyBook 2,Yes,Yes,No,Yes,Yes,Yes,"Facebook, Twitter, eMail, VKontakte",Yes,No,Yes,Yes
MapleRead,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Marvin,Yes,Yes,Yes,Yes,Yes,Yes,No,"Facebook, Twitter, eMail, customizable",Yes,No,Yes
MegaReader,No,No,No,No,No,No,No,No,No,No,Yes
PocketBook reader,Yes,Yes,No,Yes,Yes,Yes,No,"Facebook, Twitter, eMail, SMS",No,Yes,Yes
ShuBook 2,No,No,"Author, Title, Label",No,Yes,No,No,"Whole book only, eMail",No,No,Yes
SideBooks,Yes,Yes,No,No,No,No,No,No,No,No,Yes
Stanza,No,Yes,Yes,No,Yes,No,No,"Facebook, Twitter, eMail",No,No,Yes
uBooks XL,Yes,No,Yes,No,No,No,Yes,eMail,No,No,Yes
iBouquiniste,No,No,No,No,No,Yes,Yes,eMail,Yes,No,Yes
Product,Highlight,Annotate,Edit meta-data,Online dictionary,Offline dictionary,Lookup Wikipedia,Translate,Share,TTS support (read aloud),DRM support,Export to iTunes
=======
Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
Apabi Reader,3,No,No,No,Yes,No,No,No,No,Yes,No,Yes
Blio,2,No,No,No,Yes,No,No,No,No,Yes,No,No
Bluefire Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
DL Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
eBookMobi,10+,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ebook Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
i2Reader,6+,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
iBooks,2,No,No,No,Yes,No,No,No,No,Yes,No,No
Kindle,2,No,No,No,No,No,No,Yes,No,Yes,No,No
Kobo Reading App,2,No,No,No,Yes,No,No,No,No,Yes,No,No
KyBook,8,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
KyBook 2,16,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
MapleRead,2,No,No,No,Yes,No,No,No,No,Yes,No,No
Marvin,2,Yes,No,No,Yes,No,No,No,No,No,No,No
MegaReader,1,No,No,No,Yes,No,No,No,No,No,No,No
PocketBook reader,8+,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
ShuBook 2,5+,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
SideBooks,2,Yes,No,No,No,No,No,No,No,Yes,No,No
Stanza,5+,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
uBooks XL,5,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
iBouquiniste,5,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
