<<<<<<< HEAD
IDE,License,Written in Java only,Windows,Linux,macOS,Other platforms,GUI builder
BlueJ,GPL2+GNU linking exception,Yes,Yes,Yes,Yes,Solaris,No
DrJava,Permissive,Yes,Yes,Yes,Yes,Solaris,No
Eclipse JDT,EPL,No[28],Yes,Yes,Yes,"FreeBSD, JVM, Solaris",Yes
Geany,GPL,No,Yes,Yes,Yes,"FreeBSD, AIX, OpenBSD, Solaris, other Unix",No
Greenfoot,GPL,Yes,Yes,Yes,Yes,Solaris,No
IntelliJ IDEA,"Community Edition: Apache License v2.0, Ultimate Edition: proprietary",Yes,Yes,Yes,Yes,"FreeBSD, OpenBSD, Solaris",Yes
JBuilder,Proprietary,Yes,Yes,Yes,Yes,Solaris,Yes
JCreator,Proprietary,No,Yes,No,No,,No
JDeveloper,Proprietary (freeware),Yes,Yes,Yes,Yes,generic JVM,Yes
jGRASP,Proprietary (freeware),Yes,Yes,Yes,Yes,,No
MyEclipse,Proprietary,Yes,Yes,Yes,Yes,"FreeBSD, JVM, Solaris",Yes
NetBeans,"CDDL, GPL2",Yes,Yes,Yes,Yes,"OpenBSD, Solaris",Yes
Rational Application Developer,Proprietary,Yes,Yes,Yes,No,"AIX, Solaris",Yes
Servoy,Proprietary,Yes,Yes,Yes,Yes,Solaris,Yes
SlickEdit,Proprietary,No,Yes,Yes,Yes,"Solaris, Solaris SPARC, AIX, HP-UX",No
Understand,Proprietary,No,Yes,Yes,Yes,Solaris,Yes
Xcode (Apple),Proprietary,No,No,Yes,Yes,,Yes
=======
IDE,License,Windows,Linux,macOS,Other platforms,Editor,Debugger,GUI builder,Profiler,Browsers
Allegro Common Lisp,Proprietary,Yes,Yes,Yes,"FreeBSD, HP-UX, AIX, Solaris, Tru64 UNIX",Yes,Yes,Yes,Yes,"Class browser, Systems, Definitions"
LispWorks,Proprietary,Yes,Yes,Yes,"FreeBSD, HP-UX, Solaris",Yes,Yes,Yes,Yes,"Class browser, Functions, Errors, Processes, Symbols, Systems"
SLIME (Emacs),"portions in GPL v2, LGPL, BSD and public domain",Yes,Yes,Yes,"DragonFly BSD, FreeBSD, HP-UX, AIX, IRIX, DOS, NetBSD, OpenBSD, OpenVMS, OS/2, Solaris, other Unix",Yes,Yes,No,Yes,"Class browser, Errors, Symbols"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
