,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
<<<<<<< HEAD
Element selectors[spec 4],,,,,,,,
CSS2,*,Universal,7.0,12,1.0,85,Yes,1.0
,E,Element,4.0,12,1.0,85,Yes,
,E.class,Class,7.0,12,1.0,85,Yes,
,E#id,ID,4.0,12,1.0,85,Yes,
selectors-3,ns|E,Namespaced,9.0,12,1.0,Yes,Yes,
Relationship selectors,,,,,,,,
CSS2,E F,Descendant,4.0,12,1.0,85,Yes,1.0
,E > F,Child,7.0,12,1.0,85,Yes,
,E + F,Direct adjacent,7.0,12,1.0,85,Yes,
selectors-3,E ~ F,Indirect adjacent,7.0,12,1.7,412,3.3.2,2.0
selectors-4,E /for/ F,Reference combinators,No,No,No,No,No,No
,E! > F,Subject,No,No,No[g 4],No,No,No
,F || E,Column relation,No,No,No,No,No,No
Attribute selectors,,,,,,,,
CSS2,E[attr],Has,7.0,12,1.0,85,Yes,1.0
,E[attr="value"],Equals,7.0,12,1.0,Yes,Yes,
,E[attr~="value"],Contains (space-separated),7.0,12,1.0,Yes,Yes,
,E[attr|="value"],Contains (hyphen-separated),7.0,12,1.0,Yes,Yes,
selectors-3,E[attr^="value"],Begins with,7.0,12,1.0,Yes,3.4,1.0
,E[attr$="value"],Ends with,7.0,12,1.0,Yes,3.4,2.0
,E[attr*="value"],Contains substring,7.0,12,1.0,Yes,3.4,
,E[ns|attr],Namespaced,7.0,12,1.0,Yes,3.4,
selectors-4,E[foo="bar" i],Case-sensitivity,No,No,No,No,No,No
Pseudo-classes,,,,,,,,
CSS2,E:link,Unvisited hyperlink,3.0,12,1.0,85,Yes,1.0
,E:visited,Visited hyperlink,3.0,12,1.0,85,Yes,
,E:active,Active,8.0,1.0,12,85,Yes,
,E:hover,Mouseover,7.0,12,1.0,419.3,Yes,
,E:focus,Focused,8.0,12,1.0,Yes,Yes,
,E:first-child,First child,7.0,12,1.0,85,Yes,
,E:lang(),Language,8.0,12,1.2,525,3.4,
,@page:first,First page,8.0,12,No[g 5],Yes[w 5],No,
,@page:left,Left page,,,,,,
,@page:right,Right page,,,,,,
selectors-3,E:root,Root,9.0,12,1.0,85,3.4,2.1
,E:not(),Negation,,,,,,
,E:empty,Empty,,,1.8,412,,
,E:first-of-type,First child of type,,,1.9.1,525,,
,E:last-child,Last child,,,1.0,,,
,E:last-of-type,Last child of type,,,1.9.1,,,
,E:only-child,Only child,,,1.8,,,
,E:only-of-type,Only child of type,,,1.9.1,,,
,E:nth-child,Nth child,,,1.9.1,,,
,E:nth-last-child,Nth last child,,,1.9.1,,,
,E:nth-of-type,Nth child of type,,,1.9.1,,,
,E:nth-last-of-type,Nth last child of type,,,1.9.1,,,
,E:target,Target,,,1.3,,,2.5
,E:enabled,Enabled state,,,1.8,,,2.0
,E:disabled,Disabled state,,,1.8,,,
,E:checked,Checked state,,,1.0,,,
selectors-4,E:indeterminate,Indeterminate state,,,1.9.2,522,No,No
,E:default,Default,No,No,1.9,Yes[w 6],4.3,2.0
,E:valid,Valid,10.0[t 5],12,1.8,Yes[w 7],No,
,E:invalid,Invalid,10.0[t 6],12,,,,
,E:in-range,In range,No,13,,Yes[w 8],,
,E:out-of-range,Out of range,No,13,,,,
,E:required,Required,10.0[t 7],12,2.0[g 6],Yes[w 9],,
,E:optional,Optional,10.0[t 8],12,,,,
,E:read-only,Read-only,No,13,Experimental[g 7],No,Incorrect,Incorrect
