,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
<<<<<<< HEAD
Interface StyleSheet,,,,,,,
DOM2,type,6.0,?,1.0,Yes,?,2.0
,disabled,,?,,,?,
,ownerNode,No,?,,,?,
,parentStyleSheet,6.0,?,,,?,
,href,8.0,?,,,?,
,title,6.0,?,,,?,
,media,Incorrect,?,,,?,
Interface StyleSheetList,,,,,,,
DOM2,length,6.0,?,1.0,Yes,?,2.0
,item(),,?,,,?,
Interface MediaList,,,,,,,
DOM2,mediaText,No,?,1.0,Yes,?,2.0
,length,,?,,,?,
,item(),,?,,,?,
,deleteMedium(),,?,,,?,
,appendMedium(),,?,,,?,
Interface LinkStyle,,,,,,,
DOM2,sheet,No,?,1.0,No,?,2.0
Interface DocumentStyle,,,,,,,
DOM2,styleSheets,No,?,1.0,No,?,2.0
=======
Exception ExceptionVAL,,,,,,,
DOM3,code,No,No,No,No,No,No
Interface DocumentEditVAL,,,,,,,
DOM3,continuousValidityChecking,No,No,No,No,No,No
,domConfig,,,,,,
,getDefinedElements(),,,,,,
,validateDocument(),,,,,,
Interface NodeEditVAL,,,,,,,
DOM3,defaultValue,No,No,No,No,No,No
,enumeratedValues,,,,,,
,canInsertBefore(),,,,,,
,canRemoveChild(),,,,,,
,canReplaceChild(),,,,,,
,canAppendChild(),,,,,,
,nodeValidity(),,,,,,
Interface ElementEditVAL,,,,,,,
DOM3,allowedChildren,No,No,No,No,No,No
,allowedFirstChildren,,,,,,
,allowedParents,,,,,,
,allowedNextSiblings,,,,,,
,allowedPreviousSiblings,,,,,,
,allowedAttributes,,,,,,
,requiredAttributes,,,,,,
,contentType,,,,,,
,canSetTextContent,,,,,,
,canSetAttribute,,,,,,
,canSetAttributeNode,,,,,,
,canSetAttributeNS,,,,,,
,canRemoveAttribute,,,,,,
,canRemoveAttributeNS,,,,,,
,canRemoveAttributeNode,,,,,,
,isElementDefined,,,,,,
,isElementDefinedNS,,,,,,
Interface CharacterDataEditVAL,,,,,,,
DOM3,isWhitespaceOnly(),No,No,No,No,No,No
,canSetData(),,,,,,
,canAppendData(),,,,,,
,canReplaceData(),,,,,,
,canInsertData(),,,,,,
,canDeleteData(),,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
