<<<<<<< HEAD
,Trident,EdgeHTML,Gecko,WebKit,Presto
section,5.0[t 1],12,2.0[g 1][g 2],533[w 1][w 2][w 3][w 4][w 5][w 6],2.7.70
nav,,,,,
article,,,,,
aside,,,,,
hgroup,,,,,
header,,,,,
footer,,,,,
ping,No,No,Disabled,Yes,No
time,No,No,22.0[g 3],No,2.8.146
mark,5.0[t 1],12,2.0[g 4],Yes[w 7],2.7.70
"ruby,[20] rt, rp",3.1[t 2],12,38.0[g 5],533[w 8][w 9],No
dialog[21],No,No,No[g 6],Only in Chrome[w 10],No
figure,5.0[t 1],12,2.0[g 7],Yes[w 11],2.7.70
figcaption,,,,,
embed,<3.1[IE 3.0],12,1.7,85,1.0
video,5.0 (Partial)[t 3][t 4],12,15.0[g 8],525,2.5[a][b]
audio,,,,,
source,,,,,
canvas,,Partial,1.9.2[g 9],Partial,2.0[p 4]
Inline MathML,No,No,2.0,No[w 12][w 13],2.1[c]
Inline SVG,5.0[t 3],12,,Yes[w 14],2.9.220[p 6]
details,No,No,47[g 10],Yes[w 15],No
summary,,,,Yes[w 15],
command,,,No[g 11],No,
menu,,,8.0[g 12],No[w 16],2.8[p 7]
bdi,,,10.0[g 13],528[w 17],No
data,No,No,22.0[g 14],No,No
picture,No,13,38.0[g 15],No[w 18],No
,Trident,EdgeHTML,Gecko,WebKit,Presto
=======
Attribute,Deprecated for,Function,Supported first by,Trident,Gecko,WebKit,KHTML,Presto
bgproperties,body,Determines whether background image scrolls with the background,Internet Explorer,3.1,No,Yes,Yes,No
bordercolor,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,No,Yes,Yes,No
bordercolordark,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,No,No,No,No
bordercolorlight,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,,,,
controls,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
dynsrc,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
event,script,Defines function to call for an object.,Internet Explorer,,Partial,?,?,?
for,script,Defines the object to bind a scripting event.,Internet Explorer,,Partial,?,?,?
frame,table,Controls the display of the outer borders of a table in the table tag,Internet Explorer,,Yes,?,Yes,No
framespacing,frameset,Sets the amount of space between frames,Internet Explorer,,?,?,No,No
leftmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,Yes,No
loop,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
rightmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,No,No
start,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
target,form,Specifies a target window or frame for the output of a form,Internet Explorer,,No[19],?,Yes,No
valign,caption,Sets vertical alignment of table caption,Internet Explorer,3.1,?,?,No,No
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
