<<<<<<< HEAD
Attribute,Deprecated for,Function,Supported first by,Trident,Gecko,WebKit,KHTML,Presto
bgproperties,body,Determines whether background image scrolls with the background,Internet Explorer,3.1,No,Yes,Yes,No
bordercolor,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,No,Yes,Yes,No
bordercolordark,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,No,No,No,No
bordercolorlight,body,"Sets colors for 3-D table borders in the table, td, th, and tr elements",Internet Explorer,,,,,
controls,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
dynsrc,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
event,script,Defines function to call for an object.,Internet Explorer,,Partial,?,?,?
for,script,Defines the object to bind a scripting event.,Internet Explorer,,Partial,?,?,?
frame,table,Controls the display of the outer borders of a table in the table tag,Internet Explorer,,Yes,?,Yes,No
framespacing,frameset,Sets the amount of space between frames,Internet Explorer,,?,?,No,No
leftmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,Yes,No
loop,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
rightmargin,body,Sets the margin between the browser window and the contents of the page,Internet Explorer,3.1,?,?,No,No
start,img,Uses the img element to place video or audio clips,Internet Explorer,,No,No,No,No
target,form,Specifies a target window or frame for the output of a form,Internet Explorer,,No[19],?,Yes,No
valign,caption,Sets vertical alignment of table caption,Internet Explorer,3.1,?,?,No,No
=======
Tag,Function,Introduced by,Alternative solution,Trident,Gecko,WebKit,KHTML,Presto
bgsound,Used to add sound to the background of a website,Internet Explorer,audio,<3.1[IE 3.0],No,No,No,Dropped[11]
blink,Used to display a blinking text,Netscape,"Javascript, CSS",No,Dropped[12],Yes,No,1.0
bq,Used to display a blockquote,"WebTV, HTML 3.0",blockquote,No,No,No,No,Dropped[13]
comment,Used to allow the addition of comments to HTML documents,"Internet Explorer, WebTV",<!-- ... -->,3.1,No,No,No,No
ilayer,Inline layers,Netscape (4 only),iframe,No,No,No,Partial,No
image,Synonym of img,?,img,3.1,Yes,Yes,Yes,Yes
layer,Used to create multiple layers of text and images which lay on top of each other in a given order,Netscape (4 only),"CSS, AJAX",No,No,No,Partial,No
marquee,"Used to display a scrolling, marquee-like text.","Internet Explorer, WebTV","JavaScript, CSS3",3.1,1.7,125,3.3,1.0
nobr,Prevents any line breaks from occurring within the flow of a text,Netscape[14][15],CSS,3.1,Yes,Yes,Yes,Yes
noembed,Displays an alternative text for browsers which do not recognize the embed tag,Netscape,Child elements of object used as fallback,,,,,
spacer,Adds whitespace in a layout,Netscape,CSS,No,Dropped[16],No,No,No
wbr,Placed inside a nobr element to add a line break,Netscape[14][15],Unicode character zero-width space (U+200B),Dropped[note 10],1.7,Yes,3.1,No
xml[18],"Includes XML data, either inline or from an URL, in an HTML page",Internet Explorer,"AJAX, possibly XML namespaces",3.1,No,No,No,No
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
