<<<<<<< HEAD
Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,"802.11a?, 802.11b, 802.11g","Cardbus, PCI",Yes,?,?,?,?,Yes
an,802.11b,"Cardbus, PCI, ISA",Yes,?,?,?,?,Yes
arl,N/A,ISA,?,?,?,?,?,?
ath,"802.11a, 802.11b, 802.11g, 802.11n","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
awi,N/A,PC Card,?,?,?,?,Yes,Yes
bwi,"802.11b, 802.11g","Cardbus, PCI",Yes,Yes,Yes,Yes,No,No
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwi,"802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwn,"802.11a, 802.11b, 802.11g, 802.11n",Mini PCI,Yes,Yes,Yes,Yes,No,No
malo,"802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
mwl,"802.11a, 802.11b, 802.11g, 802.11n",PCI,Yes,Yes,Yes,Yes,Yes,No
ral,"802.11a, 802.11b, 802.11g","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
ray,N/A,PC Card,?,?,?,No,No,Yes
rum,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
run,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
uath,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
upgt,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
ural,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
urtw,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
wi,802.11b,"PC Card, Cardbus, PCI",Yes,Yes (since 8.0),Yes (since 8.0),Yes (since 8.0?),Yes,Yes
wpi,"802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
zyd,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
=======
Driver,Chipset,Integration,Non-free firmware required[note 1],License,Original/Primary developer,Development
acx,Texas Instruments ACX100/ACX111,Separate project,Yes,BSD,,Reverse engineering
an,"Aironet 4500/4800, Cisco Aironet 340/350, Xircom Wireless Ethernet",Integrated,On Device,BSD,Bill Paul (FreeBSD),
arl,Aironet Arlan 655,Integrated / Removed in 8.0,On Device,BSD,,
ath,Atheros AR5210/ AR5211/ AR5212/ AR5416 /AR9130 /AR9160 /AR9280 /AR9285 /AR9287 /AR9565 (and derivatives),Integrated,No,BSD,Originally by Atheros via Sam Leffler (FreeBSD); supported by the community,Documentation based
awi,AMD PCnetMobile,Integrated / Removed in 8.0,On Device,BSD,Bill Sommerfeld (NetBSD) and Atsushi Onoe (NetBSD),
bwi,Broadcom BCM43xx/4318,Integrated since 8.0,Yes,BSD,"Sepherosa Ziehau (DragonFly BSD), Andrew Thompson (FreeBSD), Sam Leffler (FreeBSD)",Ported from DragonFly BSD
bwn,Broadcom BCM43xx/4318 v4 firmware,Integrated since 8.1,Yes,BSD,Weongyo Jeong,?
cnw,Netwave AirSurfer,Integrated / Removed in 8.0,On Device,BSD,Imported from NetBSD,
ipw,Intel PRO/Wireless 2100,Integrated,Yes,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Reverse engineering
iwi,Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,Yes,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Reverse engineering
iwm,Intel Dual Band Wireless-AC 3160 / 3165 / 7260 / 7265 / 8260,?,?,,?,?
iwn,Intel PRO/Wireless 4965 ABGN/ 5100/ 5300/ 5350/ 1000 Intel Centrino 6000/ 6150/ 6200/ 6205/ 6230/ 6250/ 6300,Integrated since 8.0 / Available for 7.1 and above as separate patch,Yes,BSD,"Damien Bergamini, Benjamin Close, Sam Leffler (OpenBSD/ FreeBSD)",Reverse engineering
malo,Marvell 88W8335,Integrated,Yes,BSD,"Weongyo Jeong (FreeBSD), Sam Leffler (FreeBSD)",
mwl,Marvell 88W8363,Integrated since 8.0,Yes[42],BSD,Sam Leffler (FreeBSD),?
ral,Ralink Technology RT2500/ RT2501/ RT2600/RT3090/RT3592,Integrated,On Device,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Based on partial documentation
