Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
<<<<<<< HEAD
acx,"802.11a, 802.11b, 802.11g","Cardbus, PCI",Yes,No,No,Yes,Yes,Yes
an,802.11b,"PC Card, PCI, ISA",Yes,No,No,Yes,No,Yes
ath,"802.11a, 802.11b, 802.11g","Cardbus, PCI",Yes,Yes,Yes,Yes,Yes,Yes
athn,"802.11a, 802.11b, 802.11g, 802.11n","Cardbus, PCI-E, Mini PCIE",Yes,Yes,Yes,Yes,Yes,No
atu,802.11b,USB,Yes,No,No,No,No,Yes
atw,802.11b,"Cardbus, PCI",No,No,No,No,No,Yes
bwi,"802.11b, 802.11g","Cardbus, PCI",Yes,Yes,Yes,Yes,No,No
cnw,N/A,PC Card,No,No,No,No,No,No
ipw,802.11b,PCI,Yes,Yes,Yes,Yes,No,Yes
iwi,"802.11a, 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,Yes
iwn,"802.11a, 802.11b, 802.11g, 802.11n","PCI-E, Mini PCIE",Yes,Yes,Yes,Yes,No,No
iwm,"802.11a, 802.11b, 802.11g, 802.11n","PCI-E, Mini PCIE",Yes,Yes,Yes,Yes,No,No
malo,"802.11b, 802.11g","Cardbus, PC Card, PCI",Yes,Yes,Yes,Yes,No,No
otus,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
pgt,"802.11a, 802.11b, 802.11g","Cardbus, PCI",Yes,No,No,Yes,Yes,Yes
ral,"802.11a, 802.11b, 802.11g","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
ray,N/A,PC Card,No,No,No,No,No,Yes
rtw,802.11b,"Cardbus, PCI",Yes,No,No,Yes,Yes,Yes
rtwn,"802.11b, 802.11g",Mini PCIE,Yes,Yes,Yes,Yes,No,No
rum,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
run,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
uath,"802.11a, 802.11b, 802.11g",USB,Yes,No,No,Yes,No,No
upgt,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
ural,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
urtw,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
urtwn,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
wi,802.11b,"PC Card, PCI, USB",Yes,No,No,No,Yes,Yes
wpi,"802.11a, 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
=======
acx,"802.11a?, 802.11b, 802.11g","Cardbus, PCI",Yes,?,?,?,?,Yes
an,802.11b,"Cardbus, PCI, ISA",Yes,?,?,?,?,Yes
arl,N/A,ISA,?,?,?,?,?,?
ath,"802.11a, 802.11b, 802.11g, 802.11n","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
awi,N/A,PC Card,?,?,?,?,Yes,Yes
bwi,"802.11b, 802.11g","Cardbus, PCI",Yes,Yes,Yes,Yes,No,No
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwi,"802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwn,"802.11a, 802.11b, 802.11g, 802.11n",Mini PCI,Yes,Yes,Yes,Yes,No,No
malo,"802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
mwl,"802.11a, 802.11b, 802.11g, 802.11n",PCI,Yes,Yes,Yes,Yes,Yes,No
ral,"802.11a, 802.11b, 802.11g","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
ray,N/A,PC Card,?,?,?,No,No,Yes
rum,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
run,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
uath,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
upgt,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
ural,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
urtw,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
wi,802.11b,"PC Card, Cardbus, PCI",Yes,Yes (since 8.0),Yes (since 8.0),Yes (since 8.0?),Yes,Yes
wpi,"802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
zyd,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
