Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,LEO,GTO,Other,,First,Last
<<<<<<< HEAD
Antares 110–130,United States,Orbital,"5,100[7]",,"1,500 to SSO",5[7],2013,2014
Ariane 1,Europe,Aérospatiale,"1,400","1,830[187]",,11[187],1979,1986
Ariane 2,Europe,Aérospatiale,,"2,270[187]",,6[187],1986,1989
Ariane 3,Europe,Aérospatiale,,"2,650[187]",,11[187],1984,1989
Ariane 4 40,Europe,Aérospatiale,"4,600[187]","2,105","2,740 to SSO",7[187],1990,1999
Ariane 4 42L,Europe,Aérospatiale,"7,000[187]","3,480","4,500 to SSO",13[187],1993,2002
Ariane 4 42P,Europe,Aérospatiale,"6,000[187]","2,930","3,400 to SSO",15[187],1990,2002
Ariane 4 44L,Europe,Aérospatiale,"7,000[187]","4,720","6,000 to SSO",40[187],1989,2003
Ariane 4 44LP,Europe,Aérospatiale,"7,000[187]","4,220","5,000 to SSO",26[187],1988,2001
Ariane 4 44P,Europe,Aérospatiale,"6,500[187]","3,465","4,100 to SSO",15[187],1991,2001
Ariane 5 G,Europe,EADS Astrium,"18,000[12]","6,900[12]",,16[12],1996,2003
Ariane 5 G+,Europe,EADS Astrium,,"7,100[12]",,3[12],2004,2004
Ariane 5 GS,Europe,EADS Astrium,"16,000[188]","6,600[12]",,6[12],2005,2009[189]
Ariane 5 ES,Europe,EADS Astrium,"21,000[9]","8,000[12]",,8[12],2008,2018
ASLV,India,ISRO[190],150[191],,,4[191],1987,1994
Athena I,United States,Lockheed Martin,795[192],515,,4[193],1995,2001
Athena II,United States,Lockheed Martin,"1,800[194]",,,3[195],1998,1999[196]
Atlas-Centaur,United States,Lockheed,"1,134[197]","2,222[198]",,148,1962,1983
Atlas G,United States,Lockheed,"5,900[199]","2,222","1,179 to HCO[199]",7[199],1984,1989
Atlas H/MSD,United States,Lockheed,"3,630[200]",,,5,1983,1987
Atlas I,United States,Lockheed Martin,"5,900[199]","2,340[199]",,11[199],1990,1997
Atlas II,United States,Lockheed Martin,"6,780[199]","2,810","2,000 to HCO[199]",10[199],1991,1998
Atlas IIA,United States,Lockheed Martin,"7,316[199]","3,180","2,160 to HCO[199]",23[199],1992,2002
Atlas IIAS,United States,Lockheed Martin,"8,618[199]","3,833","2,680 to HCO[199]",30[199],1993,2004
Atlas IIIA,United States,Lockheed Martin,"8,686[199]","4,060","2,970 to HCO[199]",2[199],2000,2004
Atlas IIIB/DEC,United States,Lockheed Martin,"10,759[199]","4,609[199]",,1[199],2002,2002
Atlas IIIB/SEC,United States,Lockheed Martin,"10,218[201]","4,193[199]",,3[199],2003,2005
Black Arrow,United Kingdom,RAE,73[202],,,2 (+2),1969[a],1971
Commercial Titan III,United States,Martin Marietta,"13,100[203]",,,4,1990,1992
Delta 0300,United States,McDonnell Douglas,,340[204],747 to SSO[205],3[206],1972,1973[207]
Delta 0900,United States,McDonnell Douglas,"1,300[208]",,818 to SSO[206],2[206],1972,1972
Delta 1410,United States,McDonnell Douglas,340[209],,,1[206],1975,1975
Delta 1604,United States,McDonnell Douglas,390[210],,,2[206],1972,1973
Delta 1900,United States,McDonnell Douglas,"1,800[206]",,,1[206],1973,1973
Delta 1910,United States,McDonnell Douglas,"1,066[211]",,,1[206],1975,1975
Delta 1913,United States,McDonnell Douglas,328[212],,,1[206],1973,1973
Delta 1914,United States,McDonnell Douglas,,680[213],,2[206],1972,1973
Delta 2310,United States,McDonnell Douglas,336[214],,,3[206],1974,1981
Delta 2313,United States,McDonnell Douglas,,,243 to GEO[215],3[206],1974,1977
Delta 2910,United States,McDonnell Douglas,"1,887[206]",,,6[206],1975,1978
Delta 2913,United States,McDonnell Douglas,"2,000[216]",700[216],,6[206],1975,1976
Delta 2914,United States,McDonnell Douglas,,724[206],,30[206],1974,1979
Delta 3910,United States,McDonnell Douglas,"2,494[206]","1,154 with PAM-D",,10[206],1980,1988
Delta 3913,United States,McDonnell Douglas,816[217],,,1[206],1981,1981
Delta 3914,United States,McDonnell Douglas,,954[206],,13[206],1975,1987
Delta 3920,United States,McDonnell Douglas,"3,452[206]","1,284 with PAM-D",,10[206],1982,1989
Delta 3924,United States,McDonnell Douglas,,"1,104[206]",,4[206],1982,1984
Delta 4925,United States,McDonnell Douglas,"3,400[218]","1,312[206]",,2[206],1989,1990
Delta 5920,United States,McDonnell Douglas,"3,848[219]",,,1[206],1989,1989
Delta II 6920,United States,McDonnell Douglas,"3,983[206]",,,3[206],1990,1992
Delta II 6925,United States,McDonnell Douglas,,"1,447[206]",,14[206],1989,1992
Delta II 7320,United States,Boeing IDS / ULA,"2,865[206]",,"1,651 to SSO",12[206],1999,2015
Delta II 7326,United States,Boeing IDS,,934[206],636 to TLI 629 to HCO,3[206],1998,2001
Delta II 7420,United States,ULA,"3,185[206]",,"1,966 to SSO",14[206],1998,2018
Delta II 7425,United States,Boeing IDS,,"1,100[206]",804 to HCO,4[206],1998,2002
Delta II 7426,United States,Boeing IDS,,"1,058[206]",734 to TLI 711 to HCO,1[206],1999,1999
Delta II 7920,United States,Boeing IDS / ULA,"5,030[206]",,"3,123 to SSO",29[206],1998,2017
Delta II 7925,United States,Boeing IDS / ULA,,"1,819[206]","1,177 to TLI 1,265 to HCO",69[206],1990,2009
Delta II-H 7920H,United States,Boeing IDS / ULA,"6,097[206]",,,3[206],2003,2011
Delta II-H 7925H,United States,Boeing IDS / ULA,,"2,171","1,508 to HCO[206]",3[206],2003,2007
Delta III 8930,United States,Boeing IDS,"8,292[206]","3,810",,3[206],1998,2000
Delta IV M,United States,Boeing IDS,"9,440[28]","4,440","7,690 to polar",3[29],2003,2006
"Delta IV M+(4,2)",United States,ULA,"13,140[28]","6,390","10,250 to polar",14[29],2002,2019
"Delta IV M+(5,2)",United States,ULA,"11,470[28]","5,490","9,600 to polar",3[29],2012,2018
"Delta IV M+(5,4)",United States,ULA,"14,140[28]","7,300","11,600 to polar",8[29],2009,2019
Diamant,France,SEREB,107[220][221],,,12,1965,1975
Dnepr,Ukraine,Yuzhmash,"3,700[222]",,,22[222],1999,2015[223]
Energia[b],Soviet Union,NPO Energia,"100,000[224]",,"20,000 to GEO[224] 32,000 to TLI[224]",1 (failed to orbit)[225],1987,1987
Energia-Buran,Soviet Union,NPO Energia (Launcher) NPO Molniya (Orbiter),"30,000[224][c]",,,1,1988,1988
Falcon 1,United States,SpaceX,470[226],,,5[226],2006,2009
Falcon 9 v1.0,United States,SpaceX,"10,450[227]","4,540[227]",,5[228],2010,2013
Falcon 9 v1.1,United States,SpaceX,"13,150[229][d]","4,850[229]",,15[228],2013,2016
Feng Bao 1,China,Shanghai Bureau No.2,"2,500[230]",,,8 (+3)[231],1972,1981
GSLV Mk.I(a),India,ISRO,"5,000[52]","1,540[232]",,1[232],2001,2001
GSLV Mk.I(b),India,ISRO,"5,000[52]","2,150[232]",,4[232],2003,2007
GSLV Mk.I(c),India,ISRO,"5,000[52]",,,1[232],2010,2010
H-I,Japan United States,Mitsubishi,"1,400[233]",,,9,1986,1992
H-II / IIS,Japan,Mitsubishi,"10,060[234]","4,000[235]",,7[235],1994,1999
H-IIA 2022,Japan,Mitsubishi,,"4,500[59]",,3[59],2005,2007
H-IIA 2024,Japan,Mitsubishi,"11,000[236]","5,000[59]",,7[59],2002,2008
H-IIB,Japan,Mitsubishi,"16,500 (ISS)[61]","8,000",,8[237],2009,2020
J-I,Japan,Nissan Motors[238],"1,000[239]",,,0 (+1),1996,1996
Kaituozhe-1,China,CALT,100[240],,,2,2002,2003
Kosmos-3M,Soviet Union Russia,NPO Polyot,"1,500[241]",,,442[242],1967,2010
Lambda 4S,Japan,Nissan Motors[238],26[243],,,5,1966,1970
Long March 1,China,CALT,300[244],,,2[245],1970,1971
Long March 1D,China,CALT,740[246],,,0 (+3)[245],1995[e],2002
Long March 2A,China,CALT,"2,000[247]",,,4[76],1974,1978
Long March 2E,China,CALT,"9,200[76]",,,7[76],1990,1995
Long March 3,China,CALT,"5,000[78]",,,13[78],1984,2000
Long March 3B,China,CALT,"11,200[77]","5,100","5,700 to SSO",12[78],1996,2012
Long March 4A,China,CALT,"4,000",,,2[79],1988,1990
M-V,Japan,Nissan Motors[238] (1997–2000) IHI Aerospace[32] (2000–2006),"1,850[243]",,,7,1997,2006
Molniya,Soviet Union,RSC Energia,"1,800[248]",,,40[249],1960,1967
Molniya-M,Soviet Union Russia,RSC Energia,"2,400[250]",,,280[251],1965,2010
Mu-3C,Japan,Nissan Motors[238],195[243],,,4,1974,1979
Mu-3H,Japan,Nissan Motors[238],300[243],,,3,1977,1978
Mu-3S,Japan,Nissan Motors[238],300[243],,,4,1980,1984
Mu-3SII,Japan,Nissan Motors[238],770[243],,,8,1985,1995
Mu-4S,Japan,Nissan Motors[238],180[243],,,4,1971,1972
