<<<<<<< HEAD
Software,BibTeX,Copac,CSA,Endnote/Refer/BibIX,ISI,Medline,MODS XML,Ovid,PubMed,RIS,SciFinder,Other
Bebop,Yes,No,No,No,No,No,No,No,No,No,No,none
BibBase,Yes,No,No,No,No,No,No,No,No,No,No,none
BibDesk,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"MARC, JSTOR, Reference Miner"
Biblioscape,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
BibSonomy,Yes,No,No,Yes,No,No,No,No,No,No,No,Firefox bookmarks
Bibus,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,none
Bookends,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various [3]; user-customizable
Citavi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,various
CiteULike,Yes,No,No,No,No,No,No,No,No,Yes,No,none
colwiz,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,"with built-in browser, bookmarklet"
EndNote,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various[19]
JabRef,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BibTexML, Biblioscape, Biomail, Inspec, JSTOR, MSBib, PDF widh XMP annotations, REPEC (NEP), SilverPlatter, SixPack"
KBibTeX,Yes,No,No,Yes,No,No,Depends[17],No,Yes,Yes,No,none
Mendeley,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Browser bookmarks
Paperpile,Yes,No,No,No,No,No,No,No,No,Yes,No,PDF
Pybliographer,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,none
Qiqqa,Yes,No,No,Yes,No,No,No,No,Yes,No,No,none
ReadCube (now Papers),Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,PDF
refbase,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,RefWorks
RefDB,Yes,Yes[17],No,Yes[17],Yes[17],Yes,Yes,No,Yes,Yes,Yes[17],"MARC, risx"
Reference Manager,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various;[20] user-customizable
Referencer,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,none
RefME,?,?,?,?,?,?,?,?,?,?,?,?
RefWorks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,various[21]
SciRef,No,No,No,Yes,No,No,No,No,No,Yes,No,?
Sente,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"Dublin Core, Marc21 SUTRS, JSTOR, SilverPlatter"
Wikindx,Yes,Depends[17],No,Yes[citation needed],Depends[17],No,Depends[17],No,Yes[citation needed],Yes[citation needed],No,"ISI, BibReX LaTeX"
WizFolio,No,No,No,No,No,No,No,No,No,Yes,No,Internet Browser bookmarks[22]
Zotero[23],Yes,No[24],No[24],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"COinS, MARC, RDF, unAPI, Browser bookmarks, Endnote XML"
=======
Software,APA,Chicago/Turabian,Harvard,MLA,Other,Extension method
Bebop,No,No,No,No,none,none
BibBase,Yes,No,No,No,none,none
BibDesk,Yes,yes,No,No,various,BibDesk export templates
Biblioscape,Yes,Yes,Yes,Yes,2000+ styles[citation needed],Biblioscape format (through GUI)
BibSonomy,Yes,No,Yes,No,none,none
Bibus,Yes,No,No,No,"56 styles, user-contributed",bibus format (through GUI)
Bookends,Yes,Yes,Yes,Yes,various[citation needed],?
Citavi,Yes,Yes,Yes,Yes,10600+ styles. Styles can be requested and are centrally corrected; any BibTeX style when used with LaTeX.,"Citavi format (through GUI), includes conditions and programmable components; BibTeX"
CiteULike,Yes,Yes,Yes,Yes,various[citation needed],none
colwiz,Yes,Yes,Yes,Yes,9464 styles,CSL
EndNote,Yes,Yes,Yes,Yes,6926 styles,EndNote format (through GUI)
JabRef,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
KBibTeX,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
Mendeley,Yes,Yes,Yes,Yes,9464 styles,CSL
Paperpile,Yes,Yes,Yes,Yes,9464 styles,CSL
Pybliographer,Yes,No,No,No,none,Pybliographer XML
Qiqqa,Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
ReadCube (now Papers),Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
refbase,Yes,Yes,Yes,Yes,various polar & marine journals,PHP
RefDB,Yes,Yes,Yes,Yes,21 biomedical & law journals,"XML (citestylex.dtd), interactive script"
Reference Manager,Yes,Yes,Yes,Yes,various,Reference Manager format (through GUI)
Referencer,?,?,?,?,?,?
RefME,?,?,?,?,?,?
RefWorks,Yes,Yes,Yes,Yes,"4256, plus CSL styles",RefWorks format (through GUI); CSL
SciRef,Yes,Yes,Yes,Yes,various,SciRef format (through GUI)
Sente,Yes,Yes,Yes,Yes,various,Sente format (through GUI)
Wikindx,Yes,Yes,Yes,Yes,"ABNT, APA, BMJ, Chicago, Harvard, IEEE, MLA, Turabian",Wikindx format (through GUI)
WizFolio,Yes,Yes,Yes,Yes,1000+ styles,WizFolio format (through GUI)
Zotero,Yes,Yes,Yes,Yes,9464 styles,CSL
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
