<<<<<<< HEAD
Software,APA,Chicago/Turabian,Harvard,MLA,Other,Extension method
Bebop,No,No,No,No,none,none
BibBase,Yes,No,No,No,none,none
BibDesk,Yes,yes,No,No,various,BibDesk export templates
Biblioscape,Yes,Yes,Yes,Yes,2000+ styles[citation needed],Biblioscape format (through GUI)
BibSonomy,Yes,No,Yes,No,none,none
Bibus,Yes,No,No,No,"56 styles, user-contributed",bibus format (through GUI)
Bookends,Yes,Yes,Yes,Yes,various[citation needed],?
Citavi,Yes,Yes,Yes,Yes,10600+ styles. Styles can be requested and are centrally corrected; any BibTeX style when used with LaTeX.,"Citavi format (through GUI), includes conditions and programmable components; BibTeX"
CiteULike,Yes,Yes,Yes,Yes,various[citation needed],none
colwiz,Yes,Yes,Yes,Yes,9464 styles,CSL
EndNote,Yes,Yes,Yes,Yes,6926 styles,EndNote format (through GUI)
JabRef,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
KBibTeX,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
Mendeley,Yes,Yes,Yes,Yes,9464 styles,CSL
Paperpile,Yes,Yes,Yes,Yes,9464 styles,CSL
Pybliographer,Yes,No,No,No,none,Pybliographer XML
Qiqqa,Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
ReadCube (now Papers),Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
refbase,Yes,Yes,Yes,Yes,various polar & marine journals,PHP
RefDB,Yes,Yes,Yes,Yes,21 biomedical & law journals,"XML (citestylex.dtd), interactive script"
Reference Manager,Yes,Yes,Yes,Yes,various,Reference Manager format (through GUI)
Referencer,?,?,?,?,?,?
RefME,?,?,?,?,?,?
RefWorks,Yes,Yes,Yes,Yes,"4256, plus CSL styles",RefWorks format (through GUI); CSL
SciRef,Yes,Yes,Yes,Yes,various,SciRef format (through GUI)
Sente,Yes,Yes,Yes,Yes,various,Sente format (through GUI)
Wikindx,Yes,Yes,Yes,Yes,"ABNT, APA, BMJ, Chicago, Harvard, IEEE, MLA, Turabian",Wikindx format (through GUI)
WizFolio,Yes,Yes,Yes,Yes,1000+ styles,WizFolio format (through GUI)
Zotero,Yes,Yes,Yes,Yes,9464 styles,CSL
=======
Software,ArXiv,CiteSeer,IEEE Xplore,PubMed,Unpaywall[41],Other
Bebop,No,No,No,No,No,No
BibBase,No,No,No,No,No,"DBLP, Zotero, BibSonomy, Mendeley"
BibDesk,Yes,Yes,No,Yes,No,"ACM portal, Jstor, DBLP, Google Scholar, Web of Science, any Z39.50 or Entrez, and others"
Biblioscape,No,No,No,Yes,No,Import from integrated web browser
BibSonomy,Yes,Yes,Yes,Yes,No,various[42]
Bibus,No,No,No,Yes,No,none
Bookends,Yes,No,No,Yes,No,"Web of Science, Amazon, Google Scholar, Z39.50"
Citavi,Yes,Yes,Yes,Yes,No,"WorldCat/OCLC, Ovid, EBSCO, ProQuest, Web of Science, Z39.50 (4500+ online resources), SRU. Further catalogs are added upon request. Browser plugins (Firefox, Chrome, Internet Explorer) support DOI lookup, ISBN lookup, PubMed ID lookup, PMCID lookup, arXiv ID lookup, COinS and import from Wikipedia."
CiteULike,Yes,Yes,Yes,Yes,No,various [4]
colwiz,Yes,Yes,Yes,Yes,No,"Over 30 repositories, Import from integrated web browser"
EndNote,Yes,No,Yes,Yes,No,various[43] any Z39.50
JabRef,Yes,Yes,Yes,Yes,Yes[44],"ACM Portal, CrossRef, DBLP, DOAJ, DOI, GVK, Google Scholar, INSPIRE-HEP, Medline, MathSciNet, SAO/NASA Astrophysics Data System, Springer, and zbMATH"
KBibTeX,Yes,Yes,Yes,Yes,No,"BibSonomy, CiteBase, CSB, DBLP, Google Scholar, ScienceDirect, INSPIRE-HEP, Z MATH, Z39.50"
Mendeley,Yes,Yes,Yes,Yes,No,various [5]
Paperpile,Yes,No,No,Yes,No,Google Scholar
Pybliographer,No,No,No,Yes,No,none
Qiqqa,Yes,No,Yes,Yes,No,"GoogleScholar, JSTOR"
ReadCube (now Papers),Yes,No,Yes,Yes,No,"Microsoft Academic, Google Scholar"
refbase,Yes,No,No,Yes,No,DOI lookup
RefDB,Yes,No,No,Yes,No,any Z39.50
Reference Manager,No,No,No,Yes,No,various[45]
Referencer,?,?,?,?,No,?
RefME,?,?,?,?,?,?
RefWorks,No,No,No,Yes,No,various
SciRef,No,No,No,No,No,No
Sente,Yes,Yes,Yes,Yes,No,"Z39.50, SRU, Web of Knowledge"
Wikindx,No,No,No,Yes,No,via plug-ins
WizFolio,Yes,No,Yes,Yes,No,various[46]
Zotero,Yes,Yes,Yes,Yes,Yes[47],various[48]
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
