<<<<<<< HEAD
Software,ArXiv,CiteSeer,IEEE Xplore,PubMed,Unpaywall[41],Other
Bebop,No,No,No,No,No,No
BibBase,No,No,No,No,No,"DBLP, Zotero, BibSonomy, Mendeley"
BibDesk,Yes,Yes,No,Yes,No,"ACM portal, Jstor, DBLP, Google Scholar, Web of Science, any Z39.50 or Entrez, and others"
Biblioscape,No,No,No,Yes,No,Import from integrated web browser
BibSonomy,Yes,Yes,Yes,Yes,No,various[42]
Bibus,No,No,No,Yes,No,none
Bookends,Yes,No,No,Yes,No,"Web of Science, Amazon, Google Scholar, Z39.50"
Citavi,Yes,Yes,Yes,Yes,No,"WorldCat/OCLC, Ovid, EBSCO, ProQuest, Web of Science, Z39.50 (4500+ online resources), SRU. Further catalogs are added upon request. Browser plugins (Firefox, Chrome, Internet Explorer) support DOI lookup, ISBN lookup, PubMed ID lookup, PMCID lookup, arXiv ID lookup, COinS and import from Wikipedia."
CiteULike,Yes,Yes,Yes,Yes,No,various [4]
colwiz,Yes,Yes,Yes,Yes,No,"Over 30 repositories, Import from integrated web browser"
EndNote,Yes,No,Yes,Yes,No,various[43] any Z39.50
JabRef,Yes,Yes,Yes,Yes,Yes[44],"ACM Portal, CrossRef, DBLP, DOAJ, DOI, GVK, Google Scholar, INSPIRE-HEP, Medline, MathSciNet, SAO/NASA Astrophysics Data System, Springer, and zbMATH"
KBibTeX,Yes,Yes,Yes,Yes,No,"BibSonomy, CiteBase, CSB, DBLP, Google Scholar, ScienceDirect, INSPIRE-HEP, Z MATH, Z39.50"
Mendeley,Yes,Yes,Yes,Yes,No,various [5]
Paperpile,Yes,No,No,Yes,No,Google Scholar
Pybliographer,No,No,No,Yes,No,none
Qiqqa,Yes,No,Yes,Yes,No,"GoogleScholar, JSTOR"
ReadCube (now Papers),Yes,No,Yes,Yes,No,"Microsoft Academic, Google Scholar"
refbase,Yes,No,No,Yes,No,DOI lookup
RefDB,Yes,No,No,Yes,No,any Z39.50
Reference Manager,No,No,No,Yes,No,various[45]
Referencer,?,?,?,?,No,?
RefME,?,?,?,?,?,?
RefWorks,No,No,No,Yes,No,various
SciRef,No,No,No,No,No,No
Sente,Yes,Yes,Yes,Yes,No,"Z39.50, SRU, Web of Knowledge"
Wikindx,No,No,No,Yes,No,via plug-ins
WizFolio,Yes,No,Yes,Yes,No,various[46]
Zotero,Yes,Yes,Yes,Yes,Yes[47],various[48]
=======
Software,BibTeX,Endnote/Refer/BibIX,Medline,MODS XML,RIS,Other
Bebop,Yes,No,No,No,No,unAPI
BibBase,Yes,No,No,No,No,none
BibDesk,Yes,No,Yes,Yes,Yes,"Endnote XML, user customizable"
Biblioscape,?,?,?,?,?,?
BibSonomy,Yes,Yes,No,No,Yes,various [2]
Bibus,Yes,Yes,Yes,No,Yes,SQLite
Bookends,Yes,Yes,Yes,No,Yes,various user-customizable
Citavi,Yes,Yes,Yes,Yes,Yes,various
CiteULike,Yes,No,No,No,Yes,"COinS, Delicious"
colwiz,Yes,Yes,No,Yes,Yes,"EndNote XML, CSL formatted HTML"
EndNote,Yes,Yes,Yes,No,Yes,various[16]
JabRef,Yes,Yes,No,Yes,Yes,"BibTeXML, DocBook, HTML, OpenDocument for OO.o, RTF, SQL database, user-customizable"
KBibTeX,Yes,Yes,No,Depends[17],Yes,"PDF, PostScript, HTML, XML, RTF"
Mendeley,Yes,Yes,No,No,Yes,Endnote XML
Paperpile,Yes,No,No,No,Yes,none
Pybliographer,Yes,Yes,Yes,No,No,Ovid
Qiqqa,Yes,No,No,No,No,none
ReadCube (now Papers),Yes,Yes,No,No,Yes,none
refbase,Yes,Yes,No,Yes,Yes,"COinS, OpenDocument for OO.o, SRW XML via SRU, unAPI, Word XML"
RefDB,Yes,Yes,No,Yes,Yes,"SRW XML via SRU web service, DocBook, TEI"
Reference Manager,No,No,No,No,Yes,"MEDLARS, TSV, CSV, Reference Manager XML, user-customizable"
Referencer,Yes,No,No,No,No,none
RefME,?,?,?,?,?,?
RefWorks,Yes,Yes,No,Yes,Yes,"RIS, BibTeX, Tab delimited or XML metadata"
SciRef,No,No,No,No,Yes,"Plain text, RTF"
Sente,Yes,Yes,No,No,Yes,user-customizable
Wikindx,Yes,Yes,No,Yes,Yes,"COinS, RTF, HTML, ADS, Word BIB"
WizFolio,No,No,No,No,Yes,No
Zotero,Yes,Yes,as of version 4.0[18],Yes,Yes,"COinS, CSV, Several RDF format standards, TEI, Wikipedia citation templates, Endnote XML, CSL JSON, Refer/BiblX, RefWorks tagged"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
