<<<<<<< HEAD
Model,Launch,Codename,Architecture,Fab (nm),Core Clock rate (MHz),Config core[a],Fillrate,,Shared Memory,,,Processing power (GFLOPS),API compliance (version),,,,Combined TDP[b],,APU Series
,,,,,,,Pixel (GP/s),Texture (GT/s),Bus width (bit),Bus type,Bandwidth (GB/s),,Direct3D,OpenGL,OpenCL,Vulkan,Idle (W),Max. (W),
Radeon HD 6370D,"November 1, 2011",WinterPark,TeraScale 2,32,443,160:8:4,1.77,3.54,128,DDR3-1600,25.6,142,11.3 (11_0),4.5,1.2,N/A,Unknown,65,E2
Radeon HD 6410D,"June 20, 2011",,,,443[c]–600,,1.77–2.4,3.54–4.8,,,,142–192,,,,,,,A4
Radeon HD 6530D,,BeaverCreek,,,443,320:16:8,3.54,7.08,,DDR3-1866,29.9,284,,,,,,65–100,A6
Radeon HD 6550D,,,,,600,400:20:8,4.8,12,,,,480,,,,,,,A8
=======
Model,Launch,Code name,Fab (nm),Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
Radeon X700,March 2005,RV410 (alto),110,400,350,8:6:8:8,3200,3200,3200,600,"128, 256",11.2,DDR,128
Radeon X700 Pro,"March 1, 2005",,,425,432,,3400,3400,3400,637.5,,13.824,GDDR3,
Radeon X800 SE,Oct. 2004,R420 (loki),130,,400,,,6800,,,256,25.6,,256
Radeon X800 GT,"Dec. 6, 2005",,,475,490,8:6:8:16,3800,7600,3800,712.5,,31.36,,
Radeon X800,Dec. 2004,R430,110,400,350,12:6:12:16,4800,6400,4800,600,,22.4,,
Radeon X800 GTO,"Dec. 6, 2005",R420 (loki),130,,490,,,,,,,31.36,,
Radeon X800 Pro,"May 5, 2004",,,475,450,,5700,7600,5700,712.5,,28.8,,
Radeon X800 XL,"Feb. 2, 2005",R430,110,400,490,16:6:16:16,6400,6400,6400,600,,31.36,,
Radeon X800 XT,"May 4, 2004",R420 (loki),130,500,500,,8000,8000,8000,750,,32,,
Radeon X800 XT PE,,,,520,560,,8320,8320,8320,780,,35.84,,
Radeon X850 Pro,"Feb. 28, 2005",R481,,507,520,,6084,8112,6084,760.5,,33.28,,
Radeon X850 XT,,,,520,540,,8320,8320,8320,780,,34.56,,
Radeon X850 XT PE,,,,540,590,,8640,8640,8640,810,,37.76,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
