<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported API version,,Processing power (GFLOPS),TBP (Watts),Notes
,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,,
GeForce G210M,"June 15, 2009",GT218,40,PCIe 2.0 ×16,16:8:4,625,1500,1600,2.5,5,512,12.8,GDDR3,64,10.1,3.3,72,14,Lower clocked versions of the GT218 core is also known as Nvidia ION 2
GeForce GT 220M,2009,G96b,55,,32:16:8,500,1250,1000 1600,4,8,1024,16 25.6,DDR2 GDDR3,128,,,120,,rebranded 9600M GT @55 nm node shrink
GeForce GT 230M,"June 15, 2009",GT216,40,,48:16:8,,1100,1600,,,,25.6,GDDR3,,,,158,23,
GeForce GT 240M,,,,,,550,1210,,4.4,8.8,,,,,,,174,,
GeForce GTS 250M,,GT215,,,96:32:8,500,1250,3200,4,16,,51.2,GDDR5,,,,360,28,
GeForce GTS 260M,,GT215,,,,550,1375,3600,4.4,17.6,,57.6,,,,,396,38,
GeForce GTX 260M,"March 3, 2009",G92b,55,,112:56:16,,,1900,8.8,30.8,,60.8,GDDR3,256,,,462,65,
GeForce GTX 280M,,,,,128:64:16,585,1463,,9.36,37.44,,,,,,,562,75,
GeForce GTX 285M,February 2010,,,,,600,1500,2000,9.6,38.4,,64.0,,,,,576,,Higher Clocked Version of GTX280M with new memory
=======
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,,Supported API version,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
GeForce4 MX IGP + nForce2,"October 1, 2002",NV1F,TSMC 150 nm,FSB,250,133 200[citation needed],2:0:4:2,500,500,1000,0,Up to 128 system RAM,2.128 6.4[citation needed],DDR,64 128,7.0,1.2
GeForce4 MX420,"February 6, 2002",NV17,,AGP 4× PCI,,166,,,,,,64,2.656,SDR,128,,
GeForce4 MX440 SE,2002,,,,,,,,,,,64 128,5.312,DDR,,,
GeForce MX4000,"December 14, 2003",NV18B,,AGP 8× PCI,,,,,,,,,2.656,,64,,
GeForce PCX4300,"February 19, 2004",,,PCIe ×16,,333,,,,,,128,5.328,,,,
GeForce4 MX440,"February 6, 2002",NV17,,AGP 4× PCI,275,200,,550,550,1100,,64 128,6.4,,128,,
GeForce4 MX440 8x,"September 25, 2002",NV18,,AGP 8× PCI,,250,,,,,,,8,,,,
GeForce4 MX460,"February 6, 2002",NV17,,AGP 4× PCI,300,275,,600,600,1200,,,,,,,
GeForce4 Ti4200,"April 16, 2002",NV25,,AGP 4×,250,222 (128 MB) 250 (64 MB),4:2:8:4,1000,1000,2000,125,,7.104 (128 MB) 8 (64 MB),,,8.0a,1.3
GeForce4 Ti4200 8x,"September 25, 2002",NV28,,AGP 8×,,250,,,,,,128,8,,,,
GeForce4 Ti4400,"February 6, 2002",NV25,,AGP 4×,275,275,,1100,1100,2200,137.5,,8.8,,,,
GeForce4 Ti4400 8x (Ti4800SE2),"January 20, 2003",NV28,,AGP 8×,,,,,,,,,,,,,
GeForce4 Ti4600,"February 6, 2002",NV25,,AGP 4×,300,325,,1200,1200,2400,150,,10.4,,,,
GeForce4 Ti4600 8x (Ti48003),"January 20, 2003",NV28,,AGP 8×,,,,,,,,,,,,,
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,,Supported API version,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
