<<<<<<< HEAD
Model,Code name[175],Fab (nm),Bus interface,Core clock (MHz),Boost clock (MHz),Memory clock (MHz),Core config1,Fillrate[211],,Memory,,,,Processing power (GFLOPS)[199][200],,Supported API version,,,,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (GB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,Vulkan,OpenCL,CUDA,,
Quadro P400,GP107-825,14,PCIe 3.0 ×16,1228,1252,1752 (7008),256:16:16:2,17.1,17.1,2,32,GDDR5,64,641,20.0,12.1,4.6,1.1,1.2,6.1,30,Three Mini-DisplayPort 1.4
Quadro P600,GP107-850,,,1329,1557,1003 (4012),384:24:16:3,21.7,32.5,,64,,128,1195,37.3,,,,,,40,Four Mini-DisplayPort 1.4
Quadro P620,GP107-855,,,1266,1354,1003 (4012),512:32:16:4,23.3,46.6,,,,,1490,46.6,,,,,,,
Quadro P1000,GP107-860,,,,1481,1752 (7008),640:40:32:5,43.3,54.2,4,82,,,1894,59.2,,,,,,47,
Quadro P2000,GP106-875,16,,1076,1480,2002 (8008),1024:64:40:8,54.8,87.7,5,140,,160,3010,93.8,,,,,,75,Four DisplayPort 1.4
Quadro P2200,GP106-880-K1-A1[212],,,1000,1493,1251 (1008),1280:80:40:9,59.7,119.4,5,200,GDDR5X,,3822,121.3,,,,,,,
Quadro P4000,GP104-850-A1,,,1202,1480,1502 (6008),1792:112:64:14,78.5,137.4,8,243,GDDR5,256,5300,165.6,,,,,,105,
Quadro P5000,GP104-875-A1,,,1607,1733,1126 (9008),2560:160:64:20,102.8,257.1,16,288,GDDR5X,,8873,277.3,,,,,,180,"Four DisplayPort 1.4, One DVI-D"
Quadro P6000,GP102-875-A1,,,1506,1645,1126 (9008),3840:240:96:30,136.0,340.0,24,432,,384,10882 (11758),~340,,,,,,250,
Quadro GP100,GP100,,,1304,1442,703 (1406),3584:224:96:28,138.4,323,16,720,HBM2,4096,10336,5168,,,,,6,235,NVLINK support
=======
Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SMX count,Core config1,Clock rate,,,,Fillrate,,Memory configuration,,,,Supported API version,,,,Processing power (GFLOPS)9,,TDP (Watts),Release Price (USD)
,,,,,,,,,Base (MHz),Average Boost (MHz),Max Boost2 (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D3,OpenGL,OpenCL,Single precision,Double precision,,
GeForce GT 705[41]4,"March 27, 2014",GF119-300-A1,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,810,N/A,N/A,898 (1796),3.24,6.5,512 1024,14.4,DDR3,64,n/a[28],12,4.6,1.1,155.5,19.4,29,OEM
GeForce GT 710[42],,GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 ×8,,192:16:8,823,N/A,N/A,900 (1800),6.6,13.2,512,,,64,1.0[28],,,1.2,316.0,13.2,,
,"January 26, 2016",GK208-203-B1,,,,"PCIe 2.0 ×8, PCIe ×1",,192:16:8,954,N/A,N/A,900 (1800) 1253 (5010),7.6,15.3,1024 2048,14.4 40.0,DDR3 GDDR5,,,,,,366,15.3,19,$35–45
GeForce GT 720[43],"March 27, 2014",GK208-201-B1,,,,PCIe 2.0 ×8,,192:16:8,797,N/A,N/A,900 (1800) 1253 (5010),6.4,12.8,1024 2048,14.4 40.0,,,,,,,306,12.8,,$49–59
"GeForce GT 730 [44]5,6","June 18, 2014",GK208-301-A1,,,,,2,384:16:8,902,N/A,N/A,900 (1800),7.22,14.44,1024[45] 2048 4096,14.4,DDR3,,,,,,692.7,28.9,23,$69–79
,,GK208-400-A1,,,,,,384:16:8,902,N/A,N/A,1250 (5000),7.22,14.44,1024 2048[46],40.0,GDDR5,,,,,,,,25,
,,GF108,TSMC 40 nm,585,116,PCIe 2.0 ×16,,96:16:4,700,N/A,N/A,900 (1800),2.8,11.0,1024 2048 4096,28.8,DDR3,128,n/a[28],,,1.1,268.8,33.6,49,
GeForce GT 7407,"May 29, 2014",GK107-425-A2,TSMC 28HP,1270,118,PCIe 3.0 ×16,,384:32:16,993,N/A,N/A,891 (1782),15.9,31.8,,28.5,,128,1.0[28],,,1.2,762.6,31.8,64,$89–99
