<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported API version,,Processing power (GFLOPS),TBP (Watts),Notes
,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,,
GeForce G 102M,"January 8, 2009",MCP79XT,65,Integrated (PCIe 1.0 ×16),16:8:4,450?,1000,800 (system memory),1.8,3.6,Up to 512 from system memory,6.4,DDR2,64,10.0,3.3,48,14,"PureVideo HD, CUDA, Hybrid SLI, based on GeForce 9400M G"
GeForce G 103M,"January 1, 2009",N10M-GE2(G98),,PCIe 2.0 ×16,8:8:4,640,1600,1000,2.56,5.12,512,8,,,,,38,,"PureVideo HD, CUDA, Hybrid SLI, comparable to the GeForce 9300M GS"
GeForce G 105M,"January 8, 2009",N10M-GE1(G98),,,,,,1000 1400,,,,8 11,GDDR2 GDDR3,,,,38,,
GeForce G 110M,,N10M-GE1(G96b),55,,16:8:4,400,1000,1000 1400,1.6,3.2,1024,8 11,DDR2 GDDR3,,,,48,,"PureVideo HD, CUDA, Hybrid SLI"
GeForce GT 120M,"February 11, 2009",N10P-GV1(G96b),,,32:16:8,500,1250,1000,4,8,,16,DDR2,128,,,110,23,"PureVideo HD, CUDA, Hybrid SLI, Comparable to the 9500M GT and 9600M GT DDR2 (500/1250/400)"
GeForce GT 130M,"January 8, 2009",N10P-GE1(G96b),,,,600,1500,1000 1600,4.8,9.6,,16 25.6,DDR2 GDDR3,,,,144,,"PureVideo HD, CUDA, Hybrid SLI, comparable to the 9650M GT"
GeForce GTS 150M,"March 3, 2009",N10E-GE1(G94b),,,64:32:16,400,1000,1600,6.4,12.8,,51.2,GDDR3,256,,,192,Unknown,"PureVideo HD, CUDA, Hybrid SLI"
GeForce GTS 160M,,N10E-GS1(G94b),,,,600,1500,,9.6,19.2,,,,,,,288,60,
=======
Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config12,Fillrate,,Memory,,,,Processing power (GFLOPS),Supported API version,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,,
Quadro NVS 110M,G72M,90,PCIe 1.0 ×16,300,300,600,3:4:4:2,0.6,1.2,Up to 512,4.8,DDR,64,,9.0c,2.1,10,
Quadro NVS 120M,G72GLM,,,450,450,700,,0.9,1.8,,5.6,DDR2,,,9.0c,2.1,,
Quadro NVS 130M,G86M,80,PCIe 2.0 ×16,400?,800?,,8:4:4,1.6?,1.6?,Up to 256,6.4?,,,19.2,10.0,3.3,,
Quadro NVS 135M,,,,400,800,1188,16:8:4,1.6,3.2,,9.504,GDDR3,,38.4,,,,
Quadro NVS 140M,,,,,,1200,16:8:4,,,Up to 512,9.6,,,38.4,,,,
Quadro NVS 150M,G98M,65,,530,1300,1400,8:4:4,2.12,2.12,Up to 256,11.2,,,31.2,,,,
Quadro NVS 160M,,,,580,1450,,8:8:4,,4.24,256,,,,34.8,,,12,
Quadro NVS 300M,G72GLM,90,PCIe 1.0 ×16,450,450,1000,3:4:4:2,0.9,1.8,Up to 512,8,DDR2,,,9.0c,2.1,16,
Quadro NVS 320M,G84M,65,PCIe 2.0 ×16,575,1150,1400,32:16:8,4.6,9.2,,22.4,GDDR3,128,110.4,10.0,3.3,20,
Quadro NVS 510M,G72GLM,90,PCIe 1.0 ×16,500,500,1200,8:24:24:16,8,12,Up to 1024,38.4,,256,,9.0c,2.1,45?,based on Go 7900 GTX
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
