<<<<<<< HEAD
Server name,License,Programming language,RFC 2616 HTTP/1.1,RFC 2617 HTTP auth.authentication,RFC 2518 WebDAV,RFC 3253 WebDAV vers.versioning,RFC 3744 WebDAV ACL,RFC 4324 iCal CAPCalendar Access Protocol,RFC 4331 WebDAV quota,RFC 4709 WebDAV mount,RFC 4791 CalDAV,RFC 4918 WebDAV ext.extensions,RFC 5397 WebDAV current principal,RFC 5545 rev.revised iCal (Availability Check),RFC 5546 iCal iTIPtransport-independent interoperability protocol(Group Scheduling),RFC 5689 WebDAV ext.extended MKCOL,RFC 5995 WebDAV POST add member,RFC 6352 CardDAV vCard,RFC 6578 WebDAV syncsynchronise,RFC 6638 CalDAV sched.scheduling(Auto-Schedule),RFC 7529 iCal RSCALEnon-Gregorian calendar,RFC 7540 HTTP/2,RFC 7809 CalDAV time zones by ref.reference,RFC 7953 iCal VAVAILABILITYpersonal availability,Free-busy URL
Baïkal[22][23],,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Bedework[24],Apache,Java,,,,,,,,,,,,,,,,,,,,,,,
Calendar and Contacts Server[25],Apache,Python,,,,,,,,,,,,,,,,,,,,,,,
Calypso[26],,Python,,,,,,,,,,,,,,,,,,,,,,,
Cyrus IMAP[27],BSD,C,,,,,,,,,,,,,,,,,,,,,,,
DAViCal[28][29],,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
DavMail[30],,Java,,,,,,,,,,,,,,,,,,,,,,,
Fennel[31],GNU GPLv3,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Group-Office[32],"AGPL, proprietary",PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Horde Groupware,GNU LGPL,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Nextcloud[33],AGPL v3,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Open Xchange,","Java, JavaScript",,,,,,,,,,,,,,,,,,,,,,,
ownCloud[34],AGPL v3,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
Radicale[35],,Python,,,,,,,,,,,,,,,,,,,,,,,
SabreDAV[36],BSD,PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,,,,,group=NotePHP_HTTP,,,
SOGo[37],,Objective-C,,,,,,,,,,,,,,,,,,,,,,,
Xandikos[38],,Python,,,,,,,,,,,,,,,,,,,,,,,
Zarafa,"AGPL, proprietary",PHP,group=NotePHP_HTTP,,,,,,,,,,,,,,,Read only,,,,group=NotePHP_HTTP,,,
Zentyal[39],,Perl,,,,,,,,,,,,,,,,,,,,,,,
Zimbra,,Java,,,,,,,,,,,,,,,,,,,,,,,
=======
Client name,Platform,License,WebDAV ACL editor,Discovery of other user’s collections,ICalendar events,ICalendar tasks,ICalendar journals,ICalendar VAVAILABILITY (RFC 7953),CalDAV Scheduling,CardDAV,vCard Synchronization,User interface,Online store,.well-known URLs,FBURL,DNS SRV,handles home-sets
AgenDAV[1],Cross-platform JavaScript Web browser,,,,,,,,,,out of scope,AgenDAV's fullcalendar.io,,,,,
Cadaver[2],Command-line,,,,,,,,,,,,,,,,
aCal[3],Android,,,,,,,,,,,aCal,aCal,,,,
AndroidCaldavSyncAdapater[4],Android,,,,,,,,,,out of scope,Android,Google Play,,,,
CalDavZAP[5],Cross-platform JavaScript Web browser,AGPL,,,,,,,,,out of scope,CalDavZAP,,,,,
CardDavMATE[6],Cross-platform JavaScript Web browser,AGPL,,,out of scope,out of scope,out of scope,out of scope,out of scope,,,CardDavMATE,,,,,
InfCloud (CalDavZAP+CardDavMATE)[7],Cross-platform JavaScript Web browser,AGPL,,,,,,,,,,InfCloud,,,,,
Chandler Desktop[8],Cross-platform Python,Apache,,,,,,,,,,,,,,,
DAVx?[9],Android,,,,,,out of scope,out of scope,,,,"Android, OpenTasks","Google Play, OpenTasks",,out of scope,,
Tasks.org[10],Android,,,,,,,,,,,Android,Google Play,,,,
jqCalDAV[11],Cross-platform JavaScript Web browser,MIT,,,,,,,,,,,,,,,
KCardDAV[12] (discontinued),Cross-platform Kontact add-on,,,,,,,,,,,,,,,,
"KOrganizer, KAddressBook, Kontact",Unix-KDE,,,,,,,,,,,KOrganizer,KOrganizer,,,,
Lightning[13],Cross-platform Thunderbird Add-on,"MPL, GPL, LGPL",,,,,,,,,Out of scope,Lightning,Lightning,,,,
CardBook[14],Cross-platform Thunderbird Add-on,MPL,,,Out of scope,Out of scope,Out of scope,Out of scope,Out of scope,,,CardBook,Mozilla Add-ons (ATN),,Out of scope,,partial
MineTime[15],Cross-platform,,,,,,,,,,,,MineTime,minetime.ai,,,
Mulberry[16],Cross-platform,Apache,,,,,,,,,,,,,,,
Outlook CalDav Synchronizer[17],Windows,AGPL,,,,,,,,,,Outlook,,,,,
pyCardDAV[18],Cross-platform Python,MIT,,,,,,,,,,,,,,,
The Bat![19],Windows,,,,,,,,,,,The Bat!,The Bat!'s address book,,,,
Inverse SOGo Connector-Integrator[20],Cross-platform Thunderbird Add-on,"MPL, GPL, LGPL",,,,,,,,,,Mozilla,Mozilla Add-ons,,,,
Evolution,Cross-platform,,,,,,,,,,,Evolution,Evolution,,,,
ReminderFox[21],Cross-platform Firefox,MPL 1.1,,,,,,,,,,ReminderFox,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
