,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
<<<<<<< HEAD
Straight ahead only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceed right only,,,,,,,,,,,,,,,NOT USED,,,,,NOT USED,,,,,,,NOT USED,,
Turn right ahead only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceed straight or turn right only,,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,NOT USED,
Pass on this side,,,,,,,or,,,or,,,,,,,,,,,,,,,,,,,
Pass on either side,,,,,,,,NOT USED,,,,,,,,,,NOT USED,,,DEFUNCT,,,,,,,,
Roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,(mini- roundabout),
Route for vehicles carrying dangerous goods,,,NOT USED,NOT USED,,NOT USED,,NOT USED,NOT USED,,NOT USED,NOT USED,,,NOT USED,NOT USED,,NOT USED,,,DEFUNCT,,,,,,,NOT USED,NOT USED
Bicycles only,,,,,,,,,,,,,,,,,,,,,,,,,[23],,,,
Pedestrians only,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT USED,
Bicycles and pedestrians only,,,,,,,,,,,,,,,,,,,,,,,,,[23],,,,
Equestrians only,,,,,,,,,,NOT USED,,NOT USED,,,,NOT USED,NOT USED,,,(Belarus),DEFUNCT,,,,,,,NOT USED,
=======
One-way street,,,,,,,,(until 2022),,,,,,,,,,,,,,,,,,,,,NOT USED
,,NOT USED,,,,,NOT USED,,,,,NOT USED,,,,,NOT USED,NOT USED,,,,,,,NOT USED,,,,
End of one-way street,,,,,,NOT USED,,NOT USED,,,,,,,,,,,,,NOT USED,,,,,,,NOT USED,NOT USED
Pedestrian crossing,,,,,,,,,,,,,,,,,,,,,,,,or,[28],,,NOT USED,
Road hump,,,,,,NOT USED,,NOT USED,,,,,NOT USED,,,,,,,,DEFUNCT,,,NOT USED,NOT USED,,,NOT USED,NOT USED
Lane ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential area / living street,or,,,,,,,,,,,,,,,,,,,,,,,,or,,,,
Pedestrian zone,,,,,,,,,,,,,,,,,,NOT USED,,(Russia) (Belarus),,,,,or,,,,
Bus lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT USED
Expressway,,,,,NOT USED,,,,,,NOT USED,NOT USED,,,,,,,,,,,,,,,,NOT USED,NOT USED
Expressway ends,,,,,NOT USED,,,,,,NOT USED,NOT USED,,,,,,,,,,,,,,,,NOT USED,NOT USED
Motorway,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,NOT USED
Motorway ends,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,NOT USED
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
