Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,,,PaX,Discontinued in 3.8.0,
BLAG,,,,,
Debian/Ubuntu,,"SELinux, AppArmor",PaX optional,,
Dragora GNU/Linux-Libre,,,,,
dyne:bolic,,,,,
Fedora,,SELinux[219],Exec Shield[220],,
Gentoo,,"SELinux, AppArmor",PaX optional,,
gNewSense,,"SELinux, AppArmorBased on Debian",,,
Guix System,,,,,
LibreCMC,,,,,
Mandriva,,AppArmor,,,
Musix GNU+Linux,,,,,
Parabola GNU/Linux-libre,,Optional[221],,Optional[221],
Slackware,,"AppArmor, tomoyo",,,
SUSE Linux,,AppArmor[222],Hardware NX and other methods in mainline kernel and toolchain[223],,
Solus,,AppArmor,,,
Trisquel,,"SELinux, AppArmorBased on Ubuntu",,,
Ututo,,,,,
