<<<<<<< HEAD
Audio compression format,Algorithm,Sample rate,Bit rate,Bits per sample,Latency,CBR,VBR,Stereo,Multichannel
G.711,"companding A-law or ?-law, PCM",8 kHz,64 kbit/s,8 bit (log),125 µs (typical),,,,
G.711.0,Lossless compression of G.711,8 kHz,0.2–65.6 kbit/s,8 bit (log),5–40 ms,,,,
G.711.1,"MDCT, A-law, ?-law","8, 16 kHz","64, 80, 96 kbit/s",16 bit,11.875 ms,,,,
G.718,"CELP, MDCT, Lossy","8, 16 kHz","8, 12, 12.65, 16, 24, 32 kbit/s",16 bit,42.875–43.875 ms,,,,
G.718B,"CELP, MDCT, Lossy, Sinusoidal Coding",32 kHz,"36, 40, 48 kbit/s",16 bit,49.625 ms,,,,
G.719,"MDCT,[61] Lossy (incorporates elements of Siren Codec and Ericsson technology)",48 kHz,"32–88 kbit/s in 4 kbit/s steps, 88–128 kbit/s in 8 kbit/s steps",16 bit,40 ms,,,,
G.721,"ADPCM, Lossy",8 kHz,32 kbit/s,13 bit,,,,,
G.722,"sub-band ADPCM, Lossy",16 kHz,"64 kbit/s (comprises 48, 56 or 64 kbit/s audio and 16, 8 or 0 kbit/s auxiliary data)",14 bit,4 ms,,,,
G.722.1,"Modulated Lapped Transform (MDCT), Lossy (based on Siren Codec)",16 kHz,"24, 32 kbit/s",16 bit,40 ms,,,,
G.722.1C,"Modulated Lapped Transform (MDCT), Lossy (based on Siren Codec)",32 kHz,"24, 32, 48 kbit/s",16 bit,40 ms,,,,
G.722.2 (AMR-WB),"multi-rate wideband ACELP, Lossy",16 kHz,"6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s",14 bit,25 ms,,,,
G.723,"ADPCM, Lossy",8 kHz,"24, 40 kbit/s",13 bit,,,,,
G.723.1,"MP-MLQ, ACELP, Lossy",8 kHz,"5.3, 6.3 kbit/s",13 bit,37.5 ms,,,,
G.726,"ADPCM, Lossy",8 kHz,"16, 24, 32, 40 kbit/s",13 bit,125 µs,,,,
G.727,"ADPCM, Lossy",8 kHz,"16, 24, 32, 40 kbit/s",13 bit,,,,,
G.728,"low-delay CELP, Lossy",8 kHz,16 kbit/s,13 bit,0.625 ms,,,,
G.729,"CS-ACELP, Lossy",8 kHz,8 kbit/s,13 bit,15 ms,,,,
G.729D,"CS-ACELP, Lossy",8 kHz,6.4 kbit/s,13 bit,,,,,
G.729E,"CS-ACELP, Lossy",8 kHz,11.8 kbit/s,13 bit,15 ms,,,,
G.729.1,"CELP, TDBWE, TDAC (MDCT), Lossy","8, 16 kHz","8 kbit/s, 12–32 kbit/s in 2 kbit/s steps",16 bit,48.9375 ms,,,,
=======
Audio compression format,Algorithm,Sample rate,Bit rate,Latency,CBR,VBR,Stereo,Multichannel
AAC,"MDCT, Hybrid Subband (AAC-HE)",8–192 kHz[50],8–529 kbit/s (stereo),20–405 ms[51],,,",
AC3,MDCT,"32, 44.1, 48 kHz",32–640 kbit/s,40.6 ms,,,,
AMBE,,8 kHz,"2, 9.6 kbit/s",,,,,
AMR,ACELP,8 kHz,"4.75, 5.15, 5.90, 6.70, 7.40, 7.95, 10.20, 12.20 kbit/s",25 ms,,,,
AMR-WB (G.722.2),ACELP,16 kHz,"6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s",25 ms,,,,
AMR-WB+,ACELP,"8, 11.025, 16, 22.05, 32, 44.1, 48 kHz",6–36 kbit/s (mono) 7–48 kbit/s (stereo),60–90 ms,,,,
aptX,Subband ADPCM,24–48 kHz (stereo),192–384 kbit/s (stereo),2 ms,,,,
ATRAC1,MDCT-Hybrid Subband,44.1 kHz,292 kbit/s,>100 ms,,,,
ATRAC3,MDCT-Hybrid Subband,44.1 kHz,"66, 105, 132, 146, 176, 264, 352 kbit/s",>100 ms,,,",
ATRAC3plus,MDCT-Hybrid Subband,44.1 kHz,48–352 kbit/s,>100 ms,,,,
"BroadVoice (BV16, BV32)",Two-Stage Noise Feedback Coding (TSNFC),"8, 16 kHz","16, 32 kbit/s[52]",5 ms,,,,
Codec2,Speech,8 kHz,"0.7, 1.2, 1.3, 1.4, 1.6, 2.4, 3.2 kbit/s",20–40 ms,,,,
E-AC3,MDCT,"32, 44.1, 48 kHz",32–6144 kbit/s,,,,,
E-aptX,Subband ADPCM,15–48 kHz,"60, 384, 767, 1024 kbit/s, 1.28 Mbit/s",,,,,
GSM-HR,VSELP,8 kHz,5.6 kbit/s,25 ms,,,,
GSM-FR,RPE-LTP,8 kHz,13 kbit/s,20–30 ms,,,,
GSM-EFR,ACELP,8 kHz,12.2 kbit/s,20–30 ms,,,,
HE-AAC,,22 ~ 96 kHz,16 ~ 80 kbit/s,,,,",
HVXC,Speech,8 kHz,"2, 4 kbit/s",36 ms,,,,
iLBC,Block Independent LPC,8 kHz,"13.33, 15.20 kbit/s","25, 40 ms",,,,
iSAC,Transform coding,"16, 32 kHz",10–52 kbit/s,"33, 63 ms",,,,
"MP3 (MPEG-1, 2, 2.5 Audio Layer III)","MDCT, Hybrid Subband","8, 11.025, 12, 16, 22.05, 24, 32, 44.1, 48 kHz","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 192, 224, 256, 288, 320 kbit/s",>100 ms,,,",
MPEG-1 Audio Layer II (MP2),Subband,"32, 44.1, 48 kHz","32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384 kbit/s",,,,",
MPEG-2 Audio Layer II (MP2),Subband,"16, 22.05, 24 kHz[53][54]","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160 kbit/s[53]",,,,,
Musepack,Subband,"32, 37.8, 44.1, 48 kHz",20–350 kbit/s,,,,,
Opus,"LP, MDCT",8–48 kHz,6–510 kbit/s,5–66.5 ms,,,,
RealAudio,MDCT,Varies (see article),Varies (see article),Varies,,,,
SILK,LTP,"8, 12, 16, 24 kHz",6–40 kbit/s,25 ms,,,,
Siren 7,"Derived from PT716plus, MLT",16 kHz,"16, 24, 32 kbit/s",40 ms,,,,
Siren 14,MLT,32 kHz,"24, 32, 48 kbit/s (mono) 48, 64, 96 kbit/s (stereo)",40 ms,,,,
Siren 22,MLT,48 kHz,"32, 48, 64 kbit/s (mono) 64, 96, 128 kbit/s (stereo)",40 ms,,,,
