<<<<<<< HEAD
File manager,Symbolic links,Browse compressed folders,Slideshows,Shows combined Size of Selected Directories,Branch Sizes,Directory Compare,Synchronizer,Find as you type (Type-ahead find),Embedded/Integrated Terminal,"For Directories, size column shows:"
Altap Salamander,,,,,,,,,,DIR
Commander One,,,,,,,,,",DIR and Total size including subdirectories
CRAX Commander,,,,,,,,,,DIR and Total size including subdirectories
Directory Opus,,,,,,,,,,DIR and Total size including subdirectories
Dired,,,,,,,,,,Literal [71]
Documents by Readdle,,,,,,,,,,
DOS Navigator,,,,,,,,,,Total size including subdirectories
Dolphin,,,,,,,,,,Number of entries
Double Commander,,,,,,,,,,DIR
emelFM2,,,,,,,,,,Literal [71]
FAR Manager,,,,,,,,,,
File Commander,,,,,,,,,,
Files (Apple),,,,,,,,,,
Files by Google,,,,,,,,,,
Finder,,,,,,,,,,
ForkLift,,,,,,,,,,DIR and Total size including subdirectories
GNOME Commander,,,,,,,,,,
Konqueror,,,,,,,,,,Folder only size (default) selectable to file count/total size
Krusader,,,,,,,,,,
Midnight Commander,,,,,,,,,,
muCommander,,,,,,,,,",
GNOME Files (Nautilus),,,,,,,,,",Number of entries
Nemo,?,?,?,?,?,?,?,?,",
Nomad.NET,,,,,,,,,",DIR and Total size including subdirectories
Path Finder,,,,,,,,,,
PCManFM,,,,,,,,,",Nothing
ROX-Filer,,,,,,,,",,Nothing
Thunar,,,,,,,,,,Literal*
Total Commander,,,,,,,,,,DIR and Total size including subdirectories
Windows Explorer,,,,,,,,,,
Xandros File Manager,,,,,,,,,,
Xfe,,,,,,,,,,
Xfile,,,,,,,,,,
Xfm,,,,,,,,,,
xplorer²,,,,,,,,,,
XYplorer,,,,,,,,,,Contents including subs
ZTreeWin,,,,,,,,,,Selectable: Number of entries or Size (Optional: Including subs)
File manager,Symbolic links,Browse compressed folders,Slideshows,Shows combined Size of Selected Directories,Branch Sizes,Directory Compare,Synchronizer,Find as you type (Type-ahead find),Embedded/Integrated Terminal,"For Directories, size column shows:"
=======
File manager,SMB/CIFS,WebDAV,NFS,AFP,FTP,FISH/SSH
Altap Salamander,,,,,,
Commander One,,,,,,
CRAX Commander,,,,,,
Directory Opus,,,,,,
Dired,,,,,,
Documents by Readdle,,,,,,
Dolphin,,,,,,
Double Commander,,,,,,
emelFM2,,,,,,
Far Manager,,,,,,
File Commander,,,,,,
File Manager,,,,,,
Files (Apple),,,,,,
Files by Google,,,,,,
Finder,,,,,,
ForkLift,,,,,,
GNOME Commander,,,,,,
Konqueror,,,,,,
Krusader,,,,,,
muCommander,,,,,,
Midnight Commander,,,,,,
GNOME Files (Nautilus),,,,,,
Nemo,,?,?,?,,
Nomad.NET,,,,,,
Path Finder,,,,,,
PCManFM,,,,,,
ROX-Filer,,,,,,
Total Commander,,,,,,
Thunar,,,,,,
Windows Explorer,,,,,,
Xandros File Manager,,,,,,
Xfe,,,,,,
Xfm,,,,,,
xplorer²,,,,,,
XYplorer,,,,,,
ZTreeWin,,,,,,
File manager,SMB/CIFS,WebDAV,NFS,AFP,FTP,FISH/SSH
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
