System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
Apache Bloodhound,,,,,,,,,,,
Assembla Tickets,,,,,,,,,,,
Axosoft,,,,,,,,,,,"
Bugzilla,,,,,,,,,,,
Debbugs,,,,,,,,,,,
Faveo Helpdesk,,,,,,,,,,,
FogBugz,,,,,,,,,,,2[77]
Fossil,,,,,,,,,,,1[78]
FusionForge,,,,,,,,,,,
GNATS,,,,,,,,,,,
HP Application Lifecycle Management,,,,,,,,,,,
IBM Rational ClearQuest,,,,,,,,,,,
Jira,,,,,,,,,,,
MantisBT,,,,,,,,,,,
Microsoft Dynamics CRM,,,,,,,,,,,
org-mode,,,,,,,,,,,
OTRS,,,,,,,,,,,
Phabricator,,,,,,,,,,,
Pivotal Tracker,,,,,,,,,,,
Redmine,,,,,,,,,,,
Request Tracker,,,,,,,,,,,
Roundup,,,,,,,,,,,
StarTeam,,,,,,,,,,,
Supportworks,,,,,,,,,,,
SysAid,,,,,,,,,,,
Team Foundation Server,,,,,,,,,,,
TestTrack,,,,,,,,,,,"
Trac,,,,,,,,,,,
TrackerSuite.Net,,,,,,,,,,,
Tuleap,,,,,,,,,,,
Twproject,,,,,,,,,,,
Wrike,,,,,,,,,,,
YouTrack,,,,,,,,,,,3[88][89]
System,Git,Mercurial,Bazaar,Monotone,Darcs,CVS,Subversion,Perforce,AccuRev,ClearCase,Others
