Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,"Orbital launches incl. failuresSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.",Date of flight,
,,,LEO,GTO,Other,,"FirstEffective year for active rockets, planned year for rockets in development",Latest
Alpha,,Firefly Aerospace,1000[5],,630 to SSO,0,2020[6],
Amur,,,10500[7],,,,2026[7],
Angara 1.2,,Khrunichev,3500[8],,2400 to SSO,0,"2021[9]A suborbital flight was conducted in 2014 as Angara-1.2pp, testing only the first and second stages.[10]",
Angara A5,,Khrunichev,24000[8],7500 with KVTK 5400 with Briz-M [8],,1,2014,2014
Antares 230 / 230+,,Northrop Grumman,8200[11],,3000 to SSOname=500km,6[12],2016,2020
Ariane 5 ECA,Europe,EADS Astrium,21000[13],"10,865[14]Upgraded to 11,115 kg by 2020[15]",,73[16],2002,2019
Ariane 6 A62,Europe,ArianeGroup,"10,350[17]45","5,000[17]33","6,450 to SSO 3,000 to HEO 3,000 to TLI [17]40–49",0,2022,
Ariane 6 A64,Europe,ArianeGroup,"21,650[17]46","11,500+ [17]33","14,900 to SSO 5,000 to GEO 8,400 to HEO 8,500 to TLI [17]40–49",0,2023,
Astra,,Astra Space,100[18],,150 to SSO,1,2020[18],2020
Atlas V 401,,ULA,9050[19],"4,950","6,670 to SSO",38[19],2002,2018
Atlas V 411,,ULA,9050[19],"6,075","8,495 to SSO",6[19],2006,2020
Atlas V 421,,ULA,9050[19],"7,000","9,050 to SSO",7[19],2007,2017
Atlas V 431,,ULA,9050[19],"7,800","9,050 to SSO",3[19],2005,2016
Atlas V 501,,ULA,8250[19],"3,970","5,945 to SSO 1,500 to GEO",6[19],2010,2020
Atlas V 511,,ULA,"11,000[19]","5,250","7,820 to SSO 1,750 to GEO",0[19],2020,
Atlas V 521,,ULA,13300[19],"6,485","9,585 to SSO 2,760 to GEO",2[19],2003,2004
Atlas V 531,,ULA,15300[19],"7,425","11,160 to SSO 3,250 to GEO",3[19],2010,2013
Atlas V 541,,ULA,17100[19],"8,240","12,435 to SSO 3,730 to GEO",7[19],2011,2020
Atlas V 551,,ULA,18500[19],"8,700","13,550 to SSO 3,960 to GEO",11[19],2006,2020
Atlas V N22for Starliner[20],,ULA,"13,000",,,1,2019[21],2019
Beta,,Firefly Aerospace,4000[22],0TBATo be announced,3000 to SSO,0,TBATo be announced,
Bloostar,Spain,Zero 2 Infinity,140[23],,75 to SSO[23],0,TBATo be announced,
Blue Whale 1,South Korea,Perigee Aerospace,63[24],,50 to SSO,0,2021[25],
Ceres-1,China,Galactic Energy,350,,270 to SSO,0,2020[26],
Cyclone-4M,,Yuzhnoye Yuzhmash,5000[27],1000[28],3350 to SSO[27],0,2021[29],
Delta IV Heavy,,ULA,28790[30],14220,23560 to polar 11290 to TLI 8000 to TMI,11[31],2004,2019
Electron,,Rocket Lab,300[32],,200 to SSO[32],12[33],2017,2020
Epsilon,,IHI[34],1500[35],,590 to SSO,4[36],2013,2019
Eris-S,,Gilmour Space Technologies,200[37],,,0,2021–2022[38],
Eris-L,,Gilmour Space Technologies,450[37],,,0,TBATo be announced,
Falcon 9 Full Thrust (partially reusable),,SpaceX,16800+[39],"5,500[40]GTO payload is 5,550 kg when the first stage lands downrange on a drone ship (ASDS). Reduced to 3,500 kg if the first stage returns to the launch site (RTLS).[41]","9,600 to polar[42]","F9FTlaunchreusable[43][44]Additionally, one rocket exploded on the launch pad in 2016.[45]",2015,2020
Falcon 9 Full Thrust (expended),,SpaceX,22800[40],8300[40],"4,020 to TMI",F9FTlaunchexpendable[46][47],2017,2020
Falcon Heavy (partially reusable)[48],,SpaceX,"30,000[49]–57,000[50]","8,000[40]–10,000GTO payload is 8,000 kg when the core first-stage booster lands downrange on a drone ship (ASDS) and the side boosters return to the launch site (RTLS). Increased to 10,000 kg if all boosters land on drone ships.[41]",,FHlaunch[51][52],2018,2019
Falcon Heavy (expended),,SpaceX,"63,800[53]","26,700[53]","16,800 to TMI[53]",0,– As of 2019 Falcon Heavy has only flown in partially reusable configuration; fully expendable configuration is considered operational in the sense that it is a simplified version of the reusable configuration.,
GSLV Mk II,,ISRO,5000[54],"2700[55]GTO payload with enhanced engines, as of GSLV version 2A[56]",,7[56],2010,2018
GSLV Mk III,,ISRO,"10,000[57]","4,000",,3[58],2017A suborbital test flight was conducted in 2014 (designated LVM-3/CARE) without the cryogenic upper stage (CUS).[59],2019
H-IIA 202,,Mitsubishi,"8,000[60]67","4,000[60]48","5,100 to SSO5,100 kg to a 500-km Sun-synchronous orbit; 3,300 kg to 800 km[60]64–65 [60]64–65",26[61],2001,2020
H-IIA 204,,Mitsubishi,,"5,950[60]48",,4[61],2006,2017
H3,,Mitsubishi,4000[62],6500[63],4000 to SSO[64],0,2021[65],
Hyperbola-1,,i-Space,300[66],,,1[67],2019[68]A suborbital test flight was conducted in April 2018.[66],2019
Hyperbola-2,,i-Space,"2,000[66]",,,0,2021[66],
Jielong 1[69],,CALT,,,200 (SSO),1[69],2019,2019
Kaituozhe-2,,CASC,800[70],,,1[70],2017,2017
Kuaizhou 1/1A,,ExPace,400[71],,,9[71],2013A suborbital test flight was conducted in March 2012.[71],2019
Kuaizhou 11,,ExPace,1500[72],,1000 to SSO[73],1,2020,2020
Kuaizhou 21,,ExPace,"20,000[74]",,,0,2025[73],
LauncherOne,,Virgin Orbit,500[75],,300 to SSO[76],1,2020,2020
Long March 2C,,CALT,3850 date=October 2018,1250 with CTS2,2000 to SSO with YZ-1S[77],57[78]Includes 6 possible launches of CZ-2C (3) noted by Gunter Krebs in reference [78].,1982,2019
Long March 2D,,SAST,4000,,1150 to SSO,46[78],1992,2020
Long March 2F,,CALT,8600,,,13[78],1999,2016
Long March 3A,,CALT,"6,000[79]","2,600","5,000 to SSO",27[80],1994,2018
Long March 3B/E,,CALT,"11,500[79]","5,500","6,900 to SSO",53[80],2007,2020
Long March 3C,,CALT,"9,100[79]","3,800","6,500 to SSO",17[80],2008,2019
Long March 4B,,SAST,4200[81],1500,2800 to SSO,35[81],1999,2019
Long March 4C,,SAST,4200[82],1500,2800 to SSO,28[81],2006,2019
Long March 5,,CALT,25000[83],14000 [84],15000 to SSO[85] 9400 to TLI[84] 6000 to TMI[84],4[85],2016,2020
Long March 5B,,CALT,25000[85],,,1[85],2020[86],2020
Long March 6,,SAST,,,1080 to SSO[87],3[88],2015,2019
Long March 7,,CALT,13500[89],,5500 to SSO,2[90],2016[91],2017
Long March 7A,,CALT,,5500 to 7000[86],,1,2020,2020
Long March 8 (partially reusable)[92],,CALT,7600[93],2500,4500 to SSO,0,2021[92],
Long March 9[94],,CALT,"140,000[95]","66,000[96]","50,000 to TLI[95] 44,000 to TMI[92]",0,2028[97]–2030[92],
Long March 11,,CALT,700[98],,350 to SSO,8[99],2015,2019
Minotaur I,,Northrop Grumman,580[100],,,10[101],2000,2013
Minotaur IV,,Northrop Grumman,1735[102],,,4[103],2010,2017
Minotaur V,,Northrop Grumman,,670[103],465 to HCO,1[103],2013,2013
Minotaur-C (Taurus)[104],,Northrop Grumman,1458[105],,1054 to SSOname=400kmReference altitude 400 km,10[106],1994,2017
Miura 5,,PLD Space,300[107],,,0,2024[108],
New Glenn,,Blue Origin,"45,000[109]","13,000",,0,2021[110],
New Line 1 (partially reusable)[111],,LinkSpace,,,440lbkgdisp=number to SSO[111],0,2021[112],
Nuri (KSLV-2),,KARI,1500 at 600–800 km[113],,,0,2021[113]A suborbital test flight was conducted in November 2018.,
OS-M1,,OneSpace,205[114],,143 to SSO,1,2019[115]A suborbital test flight was conducted in May 2018.[116],2019
OS-M2,,OneSpace,390[114],,292 to SSO,0,TBATo be announced,
Pegasus,,Northrop Grumman,500[117],,,44[117][118],1990,2019
Prime,,Orbex,220[119],,150 to SSOname=500kmReference altitude 500 km[120],0,2021[120],
Proton-M / M+,,Khrunichev,23000 (M+)[121] 21600 (M)[122],6920 (M+) 6150 (M),,108[123][124][125],2001,2019
PSLV-CA,,ISRO,2100[126],,1100 to SSO,14[126],2007,2019
PSLV-DL,,ISRO,,,,1[126],2019,2019
PSLV-QL,,ISRO,,,,2[126],2019,2019
