Syntax,Language(s)
<<<<<<< HEAD
"$"hello, {name}"","C#, Visual Basic .NET"
""Hello, $name!"","Bourne shell, Perl, PHP, Windows PowerShell"
"qq(Hello, $name!)",Perl (alternate)
""Hello, {$name}!"",PHP (alternate)
""Hello, #{name}!"","CoffeeScript, Ruby"
"%Q(Hello, #{name}!)",Ruby (alternate)
"(format t "Hello, ~A" name)",Common Lisp
"`Hello, ${name}!`",JavaScript (ECMAScript 6)
""Hello, \(name)!"",Swift
"f'Hello, {name}!'",Python
=======
""I said \"Hello, world!\""","C, C++, C#, D, F#, Java, JavaScript, Mathematica, Ocaml, Perl, PHP, Python, Rust, Swift, Wolfram Language, Ya"
"'I said \'Hello, world!\''","CoffeeScript, JavaScript (alternate), Python (alternate)"
""I said `"Hello, world!`""",Windows Powershell
""I said ^"Hello, world!^""",REBOL
"{I said "Hello, world!"}",REBOL (alternate)
""I said, %"Hello, World!%""",Eiffel
"!"I said \"Hello, world!\""",FreeBASIC
"r#"I said "Hello, world!""#",Rust (alternate)
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
