<<<<<<< HEAD
Research Networking Tool,Profiled User Population,Can Users Update Their Own Profile Data?,Type of Networking (Active or Passive),Includes Functionality to Match Expertise with Funding Opportunities
Academic Room,"Anyone can create a profile. Profiled categories include "Faculty", "Grad Students", "Undergrads", "Professionals"",,Active,
Activity Insight,"Faculty, Staff, Graduate Students",,Active and Passive,
C-IKNOW,Defined using Web of science ID or on an ad hoc basis,,Active and Passive,
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),"Faculty, Students, Staff, Equipment Owners, Research Centers, Facilities, Technologies, Units etc. as per institution's needs",,Active and Passive,
Community Academic Profiles - CAP,"Active Stanford physicians, School of Medicine faculty, students, staff and postdocs.",,Active and Passive,Unknown
CurvitaTM Profile Manager,All,Unknown,No networking,Unknown
CUSP - Columbia University Scientific Profiles,All Columbia faculty,,Active,Unknown
Digital Vita,All,,Passive,Unknown
Elsevier's Pure,Any researchers can be included,",Active and Passive,
Elsevier's SciVal,All published researchers,"Yes, SciVal links to profiles in Scopus and researchers can submit feedback on profiles within Scopus to have papers added or removed.",Passive,
Epernicus Solutions & Epernicus Network,Anyone who enters a profile (for Epernicus Network),,Passive,Unknown
Epistemio,Any researcher who creates a profile,,N/A,
ERIM Member Profile System (ERIM MIS),Multiple faculties at Erasmus use it,Unknown,Active,Unknown
Esploro,"Faculty, Staff, Library Staff, Graduate Students",,Active and Passive,
EUREKA!TM Enhancing Student Research,University of Texas at Austin faculty,Unknown,No networking,Unknown
Expertise @ Maryland,All,Unknown,"Currently passive, but building active",Unknown
Faculty Profile System,Any faculty at UC Irvine,,No networking,Unknown
Faculty Research Information Profile (FRIP),N/A,N/A,N/A,N/A
Faculty Scholarly Productivity Index,"Federally funded, published faculty",Unknown,No networking,Unknown
GENIUS,Any faculty member who creates a profile on the system,,Passive,Unknown
Google,Anyone can be searched on Google,N/A,No networking,
HUBzero,"Indiana University, Indiana University School of Medicine, Purdue University, U. of Notre Dame, Regenstrief",Unknown,Active,Unknown
iamResearcher,Any researcher who creates a profile,,Passive (?),Unknown
iAMscientist,Any researcher who creates a profile,,Passive,Unknown
i2iConnect,Industry licensing representatives,Unknown,Passive,Unknown
InCites,All published,,Passive,
INDURE,All faculty at 4 Indiana institutions,Unknown,Passive,Unknown
LatticeGrid,Currently Medical School faculty only. Developed for biomedical research organizations,",Passive),
Lattes Database,Curriculum and institutions database of Science and Technology areas in Brazil. Anyone can create a profile.,,No apparent networking,Unknown
LinkedIn,Anyone who creates a LinkedIn profile,,Passive and Active,Unknown
Life Science Network,Anyone who creates a profile,,Active and Passive,
Loki,All faculty at University of Iowa,,Passive,Unknown
Loop,Anyone who creates a profile,,Passive and Active,Unknown
Lyterati,"Faculty, academic administrators (department chairs, deans, provost), center directors, grad students, staff",,Active and Passive,
McCormick Collaboration Visualization Tool,All Northwestern publications from Web of Science,,Passive,
MizzouLinks,Currently a pilot group from two Missouri interdisciplinary centers,Unknown,Passive,Unknown
MyScienceWork,Anyone who creates a profile,,Active and Passive,Unknown
OSU:pro,All OSU faculty,Unknown,No apparent networking,Unknown
Pivot,"3 million profiles (and growing, according to the publisher). Profiles are compiled even without user registration, but can only be viewed by registered users",,Passive,
Profiles,"All users as defined by each institution. "Profiles" are also created for institutions, departments, concepts, publications, networks, events or any other class defined in the ontology",,Passive and Active,
ReachNC,"UNC faculty in various disciplines, Duke, and RTI Fellows",,Passive,
Research Accelerator,Any member of the Yale research enterprise,,Passive,Unknown
ResearcherID,Anyone who creates a profile,,Passive and Active,Unknown
SciENcv,Not yet established,Not yet established,No apparent networking,
Symplectic Elements,All users may be included (as defined by institution).,",Passive and Active,"
VIVO,All users (as defined by the institution),,Passive and Active,Possibly
Yaffle,All Memorial University faculty,,Passive,Unknown
=======
Research Networking Tool,Thesaurus/Controlled Vocabulary Used,Ontology/Ontologies Supported,Automatic Author Disambiguation
Academic Room,unknown,unknown,
Activity Insight,,"Fully customizable data collection screens; campus, college and department-defined ontologies",
C-IKNOW,Not applicable,Uses elements of FOAF and Dublin Core in RDF; uses Pellet reasoning engine,
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),,"Dublin Core, Social Media and compatible with VIVO and other popular ontologies",
Community Academic Profiles - CAP,MeSH,Unknown,
Converis,In some fields,"CASRAI, VIVO",
CurvitaTM Profile Manager,Unknown,Unknown,
CUSP - Columbia University Scientific Profiles,Unknown,Unknown,
Digital Vita,Unknown,Unknown,
Elsevier's Pure (now integrated with SciVal Experts),The "Elsevier Fingerprinting Engine" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.,Maps to VIVO ontology,
Elsevier's SciVal,The "Elsevier Fingerprinting Engine" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.,Maps to VIVO ontology,
Epernicus Solutions & Epernicus Network,Unknown,Unknown,
ERIM Member Profile System (ERIM MIS),Unknown,Unknown,
Esploro,"ProQuest thesaurus, ERA FOR, PQTD, and more, All thesauri are regularly updated.",Plans to implement the VIVO ontology,
EUREKA!TM Enhancing Student Research,Unknown,Unknown,
Expertise @ Maryland,Unknown,Unknown,
Faculty Profile System,Unknown,Unknown,
Faculty Research Information Profile (FRIP),N/A,N/A,N/A
Faculty Scholarly Productivity Index,Unknown,Unknown,Unknown
GENIUS,Unknown,Unknown,
Google,None (Google uses generic keywords),Unknown,
HUBzero,Unknown,Unknown,
iamResearcher,Unknown,Unknown,
iAMscientist,Unknown,Unknown,
i2iConnect,Unknown,Unknown,
InCites,In some fields,Unknown,
INDURE,Unknown,Unknown,N/A
LatticeGrid,MeSH,Uses elements of FOAF and other ontologies,
Lattes Database,Unknown,Unknown,Unknown
LinkedIn,None,Unknown,
Life Science Network,Unknown,Unknown,
Loki,Unknown,Unknown,
Lyterati,,Fully customizable ontology that maps to VIVO,
McCormick Collaboration Visualization Tool,None,Unknown,
MizzouLinks,Unknown,Unknown,
MyScienceWork,Unknown,Unknown,
ORCID (Open Researcher and Contributor ID),Unknown,Unknown,
OSU:pro,Unknown,Unknown,Unknown
Pivot,Unknown,Unknown,
Profiles,"MeSH, others are being developed to go beyond the life and biomedical sciences",VIVO RDF ontology with additional Profiles RDF classes and properties,
ReachNC,Scopus taxonomy uses MeSH and general keywords,Maps to VIVO ontology,
Research Accelerator,Unknown,Unknown,
ResearcherID,Unknown,Unknown,
SciENcv,No thesaurus used,Unknown,
Symplectic Elements,"MeSH, Fields of Research, ScienceMetrix.","Supports mapping of publication, person and grants data to the VIVO ontology via their open source VIVO Harvester Extension, as well as Harvard Catalyst's Profiles RNS.",
VIVO,"VIVO uses several thesauri that are available through Semantic Web, including MeSH",The VIVO Ontology was developed and supported by NIH-funded efforts and continues to be developed and built by its open source community at GitHub and in collaboration with the eagle-i project.,
Yaffle,Unknown,Unknown,Unknown
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
