<<<<<<< HEAD
Model,Launch,Model Number,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,API compliance (version),,Notes
,,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,
Mobility Radeon 7000,Feb 2001,M6,RV100,180,AGP 4x,144 167,144 183,0:1:3:1,0.167,0.5,8 16 32,1.464 2.928,SDR DDR,32 64,6,1.3,
Mobility Radeon 7500,Dec 2001,M7,RV200,150,,280,200,1:2:6:2,0.56,1.68,32 64,3.2 6.4,DDR,64 128,7,,"PowerPlay II, DX7 T&L"
Mobility Radeon 9000,Aug 2002,M9,RV250,,,250,,1:4:4:4,1.0,1.0,,,,,8.1,1.4,"PowerPlay 3.0, Fullstream"
Mobility Radeon 9200,Mar 2003,M9+,RV280,,AGP 8x,250/250,200/220,,,,,3.2/3.52 6.4/7.04,,,,,
Mobility Radeon 9500,2004?,M11,RV360,130,,,,2:4:4:4,,,64,,,,9.0,2.0,
Mobility Radeon 9550,2005,M12,,,,210,183,,0.84,0.84,,2.928 5.856,,,,,
Mobility Radeon 9600,Mar 2003,"M10, M11",RV350,,,300,300,,1.2,1.2,64 128,4.8 9.6,,,,,
Mobility Radeon 9600 Pro,2004,M10,,,,350,350,,1.4,1.4,128,11.2,,128,,,
Mobility Radeon 9700,Feb 2004,M11,RV360,,,450,275,,1.8,1.8,,8.8,,,,,
Mobility Radeon 9800,Sep 2004,M18,R420,,,350,300,4:8:8:8,2.8,2.8,256,19.2,,256,,,
=======
Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,Memory,,,,API (version),
,,,,,,,,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
All-in-Wonder Radeon,"Jul 31, 2000",R100,180,AGP 4x,166,332,2:1:6:2,332,996,41.5,32,5.312,DDR,128,7.0,1.4
All-in-Wonder 7500,"Jan 22, 2002",RV200,150,,260,360,2:0:6:2,520,1560,0,64,11.52,,,,
All-in-Wonder VE,"Dec 2, 2002",,,,250,500,,500,1500,,,8,,,,
All-in-Wonder 8500,"Apr 4, 2002",R200,,,260,550,4:2:8:4,1100,2200,137.5,128,8.8,,,8.1,
All-in-Wonder 8500 DV,"Aug 30, 2001",,,,230,380,,920,1840,115,64,6.08,,,,
All-in-Wonder 9000 Pro,"Mar 31, 2003",RV250,,AGP 8x,275,550,4:1:4:4,1110,1110,68.75,"64, 128",8.8,,,,
All-in-Wonder 9200,"Jan 26, 2004",,,,250,400,,1000,1000,62.5,128,6.4,,,,
All-in-Wonder 9200 SE,N/A,,,,,332,,,,,,2.656,,64,,
All-in-Wonder 9600,"Jan 26, 2004",RV350,130,,325,400,4:2:4:4,1300,1300,162.5,,6.4,,128,9.0,2.0
All-in-Wonder 9600 Pro,"Aug 05, 2003",,,,400,650,,1600,1600,200,,10.4,,,,
All-in-Wonder 9600 XT,"Jan 26, 2004",,,,525,,,2100,2100,262.5,,,,,,
All-in-Wonder 9700 Pro,"Dec 30, 2002",R300,150,,325,620,8:4:8:8,2600,2600,325,,19.84,,256,,
All-in-Wonder 9800 Pro,"Apr 7, 2003",R350,,,380,680,,3040,3040,380,,21.76,,,,
All-in-Wonder 9800 SE,"Nov 1, 2003",,,,,,4:4:4:8,,1520,,,10.88,,128,,
All-in-Wonder X600 Pro,"Sept 21, 2004",RV370,110,,400,600,4:2:4:4,1600,1600,200,256,9.6,,,,
All-in-Wonder X800 GT,"Aug 8, 2005",R430,,PCI-E x16,490,980,8:6:8:16,6400,3200,600,128,31.36,GDDR3,256,9.0b,
All-in-Wonder X800 XL,"Jul 5, 2005",,,PCI-E x16 AGP 8X,400,,16:6:16:16,,6400,,256,,,,,
All-in-Wonder X800 XT,"Sept 9, 2004",R420,130,AGP 8x,500,1000,,8000,8000,750,,32,,,,
All-in-Wonder 2006,"Dec 22, 2005",RV515,90,PCI-E x16,450,800,4:2:4:4,1800,1800,225,,12.8,DDR2,128,9.0c,
All-in-Wonder X1800 XL,"Nov 21, 2005",R520,,,500,1000,16:8:16:16,8000,8000,1000,,32,GDDR3,256,,
All-in-Wonder X1900,"Jan 24, 2006",R580,,,,960,48:8:16:16,,,,,30.72,,,,
All-in-Wonder HD 3650,"Jun 28, 2008",RV635,55,,725,1200,120:8:4,2900,5800,N/A,512,19.2,DDR2,128,10.1,3.3
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
