<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported API version,,Processing power (GFLOPS),TBP (Watts),Notes
,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,,
GeForce G210M,"June 15, 2009",GT218,40,PCIe 2.0 ×16,16:8:4,625,1500,1600,2.5,5,512,12.8,GDDR3,64,10.1,3.3,72,14,Lower clocked versions of the GT218 core is also known as Nvidia ION 2
GeForce GT 220M,2009,G96b,55,,32:16:8,500,1250,1000 1600,4,8,1024,16 25.6,DDR2 GDDR3,128,,,120,,rebranded 9600M GT @55 nm node shrink
GeForce GT 230M,"June 15, 2009",GT216,40,,48:16:8,,1100,1600,,,,25.6,GDDR3,,,,158,23,
GeForce GT 240M,,,,,,550,1210,,4.4,8.8,,,,,,,174,,
GeForce GTS 250M,,GT215,,,96:32:8,500,1250,3200,4,16,,51.2,GDDR5,,,,360,28,
GeForce GTS 260M,,GT215,,,,550,1375,3600,4.4,17.6,,57.6,,,,,396,38,
GeForce GTX 260M,"March 3, 2009",G92b,55,,112:56:16,,,1900,8.8,30.8,,60.8,GDDR3,256,,,462,65,
GeForce GTX 280M,,,,,128:64:16,585,1463,,9.36,37.44,,,,,,,562,75,
GeForce GTX 285M,February 2010,,,,,600,1500,2000,9.6,38.4,,64.0,,,,,576,,Higher Clocked Version of GTX280M with new memory
=======
Model,Launch,Code name,Fab (nm),Transistors (billion),Die size (mm2),Bus interface,Core config,Clock speeds,,,Fillrate,,Memory,,,,Supported API version,,,,Processing power (GFLOPS),,,TBP (Watts),SLI support
,,,,,,,,Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),DirectX,OpenGL,OpenCL,Vulkan,Single precision (Boost),Double precision,Half precision,,
GeForce MX110[165][166],November 2017,GM108,28,,,64,256:16:8,965,993,,7.944,23.83,?2,(variable),GDDR5/DDR3,64,12,4.5,1.0,1.2,762.6,23.83,,30,No
GeForce MX130[165][167][168],November 2017,,,,,,384:24:8,1122,1242,,9.936,29.81,,,,,,,1.2,1.0,762.6,29.81,,30,No
GeForce MX150[169],Mid 2017,GP108 (N17S-G1-A1),14,1.8,70,PCIe 3.0 x4,384:24:16[170][171],1468,1532,6008,23.5,35.2,2,48,GDDR5,64,12 (12_1),,1.2,1.0 (1.2 via driver),1127 (1177),18,9,25,rowspan=6 
,?,GP108 (N17S-LG-A1),,,,,,937,1038,5012,15,22.5,,40,,,,,,,720 (797),11,6,10,
GeForce GTX 1050 (Notebook)[172][173],"January 3, 2017",GP107(N17P-G0-A1),,3.3,135,PCIe 3.0 x16,640:40:16,1354,1493,7000,21.7,54.2,4,112,,128,,,,,1733 (1911),27,14,53,
GeForce GTX 1050 Ti (Notebook)[172],,GP107(N17P-G1-A1),,,,,768:48:32,1493,1620,,47.8,71.7,,,,,,,,,2293 (2488),36,18,64,
GeForce GTX 1060 (Notebook)[172],"August 16, 2016",GP106,16,4.4,200,,1280:80:48,1404,1670,8000,67.4,112,6,192,,192,,,,,3594 (4275),112,56,80,
GeForce GTX 1060 Max-Q,May 2017,,,,,,,1063,1480,,71.04,118.4,,,,,,,,,3789,118.4,59.20,,
,,GP106B,,,,,,1265,,,,,,,,,,,,,,,,,
GeForce GTX 1070 (Notebook)[172],"August 16, 2016",GP104/GP104B[174],,7.2,314,,2048:128:64,1442,1645,,92.3,185,8,256,,256,,,,,5906 (6738),185,92,115,rowspan=1 
GeForce GTX 1070 Max-Q,May 2017,,,,,,,1101,1379,,88.26,176.5,,,,,,,,,5648,176.5,88.26,?,rowspan=1 
GeForce GTX 1080 (Notebook)[172],"August 16, 2016",,,,,,2560:160:64,1556,1733,10000,99.6,249,,320,GDDR5X,,,,,,7967 (8873),249,124,150,rowspan=1 
GeForce GTX 1080 Max-Q,May 2017,,,,,,,1101,1468,,93.95,234.9,,,,,,,,,7516,234.9,117.4,?,rowspan=1 
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
