<<<<<<< HEAD
Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Supported API version,,,TBP (Watts)
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,
,,,,,,,,,,,,,,,Hardware,Drivers (Software),
GeForce FX Go 5100*,March 2003,NV34M,150,AGP 8×,200,400,1:2:2:2 *:4:4:4,0.8,0.8,64,3.2,DDR,64,9.0,1.5,2.1**,
GeForce FX Go 5500*,,,,,300,600,,1.2,1.2,32 64,9.6,,128,,,,
GeForce FX Go 5600*,,NV31M,130,,350,,,1.4,1.4,32,,,,,,,
GeForce FX Go 5650*,,,,,350,,,,,,,,,,,,
GeForce FX Go 5700*,"February 1, 2005",NV36M,,,450,550,3:2:2:2 *:4:4:4,1.8,1.8,,8.8,,,,,,
=======
Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS)[198][199],,Supported API version,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,,
Quadro FX 380,G96,65,PCIe 2.0 ×16,450,1100,1400,16:8:8,3.6,3.6,256,22.4,GDDR3,128,52.8,-,10.0,3.3,34,"Two Dual Link DVI, no DisplayPort"
Quadro FX 380 LP,GT218GL,40,,589,1402,1600,16:8:4,2.356,4.712,512,12.8,,64,67.296,,10.1,,28,"DisplayPort, Dual Link DVI"
Quadro FX 580,G96,65,,450,1125,,32:16:8,3.6,7.2,,25.6,,128,108,,10.0,,40,"Dual DisplayPort, Dual Link DVI"
Quadro FX 1800,G100GL-U(G94),,,550,1375,,64:32:12,6.6,17.6,768,38.4,,192,264,,,,59,"Stereo DP Dual Link DVI, Dual DisplayPort, SLI"
Quadro FX 3800,GT200GL,55,,602,1204,,192:64:16,9.632,38.528,1024,51.2,,256,693.504,86.688,,,108,
Quadro FX 4800,,,,,,,192:64:24,14.448,38.528,1536,76.8,,384,,,,,150,
Quadro FX 5800,,,,648,1296,,240:80:32,20.736,51.840,4096,102.4,,512,933.12,116.64,10.1,,189,
Quadro CX[200],,,,602,1204,,192:64:24,14.448,38.528,1536,76.8,,384,693.504,86.688,10.0,,150,"Display Port and dual-link DVI Output, optimised for Adobe Creative Suite 4"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
