Rank,Country,Population,Area (km2),Density (pop/km2),Notes
1,India,popareadens42,Growing population,,
2,Pakistan,popareadens42,Growing population,,
3,Bangladesh,popareadens42,Rapidly growing population,,
4,Japan,"126,010,000","377,873",,Declining population[102]
5,Philippines,popareadens42,Growing population,,
6,Vietnam,"96,209,000","331,689",,Growing population
7,United Kingdom,"66,436,000","243,610",,Steady population
8,South Korea,"51,781,000","99,538",,Steady population
9,Taiwan,"23,604,000","36,193",,Steady population
10,Sri Lanka,"21,803,000","65,610",,Growing population
